source,target,tier,distance,gain,gain_version
m4_hourly,m4_hourly,near,0.0,6.0036,extended_v3_rolling
m4_hourly,monash_electricity_hourly,near,1.4097678083971257,1.9544,extended_v3_rolling
m4_hourly,uber_tlc_hourly,near,2.9995974268063588,-14.4243,extended_v3_rolling
m4_hourly,wind_farms_hourly,near,2.332351559325204,-27.7241,extended_v3_rolling
monash_electricity_hourly,m4_hourly,near,1.4097678083971257,20.6383,extended_v3_rolling
monash_electricity_hourly,monash_electricity_hourly,near,0.0,0.2611,extended_v3_rolling
monash_electricity_hourly,uber_tlc_hourly,near,2.7737894769977967,-6.5135,extended_v3_rolling
monash_electricity_hourly,wind_farms_hourly,near,1.834869462752481,10.2136,extended_v3_rolling
uber_tlc_hourly,m4_hourly,near,2.9995974268063588,7.0752,extended_v3_rolling
uber_tlc_hourly,monash_electricity_hourly,near,2.7737894769977967,3.4875,extended_v3_rolling
uber_tlc_hourly,uber_tlc_hourly,near,0.0,4.4829,extended_v3_rolling
uber_tlc_hourly,wind_farms_hourly,near,2.6147954165523988,-7.0066,extended_v3_rolling
wind_farms_hourly,m4_hourly,near,2.332351559325204,17.4727,extended_v3_rolling
wind_farms_hourly,monash_electricity_hourly,near,1.834869462752481,29.6251,extended_v3_rolling
wind_farms_hourly,uber_tlc_hourly,near,2.6147954165523988,-9.0519,extended_v3_rolling
wind_farms_hourly,wind_farms_hourly,near,0.0,9.9006,extended_v3_rolling
monash_electricity_hourly,sg_carpark,far,1.1934606318657401,5.8169,extended_v3_rolling
monash_electricity_hourly,coastal_ts,far,3.9080525690540657,-0.6205,extended_v3_rolling
monash_electricity_hourly,boom_hourly,far,2.3775200098952034,-6.6432,extended_v3_rolling
uber_tlc_hourly,sg_carpark,far,3.1561179674141977,11.7219,extended_v3_rolling
uber_tlc_hourly,coastal_ts,far,5.637716215490485,-4.6412,extended_v3_rolling
uber_tlc_hourly,boom_hourly,far,2.61208723695178,-5.2566,extended_v3_rolling
m4_hourly,sg_carpark,far,0.5124594557879032,3.8157,extended_v3_rolling
m4_hourly,coastal_ts,far,4.436581612409084,-38.444,extended_v3_rolling
m4_hourly,boom_hourly,far,3.4068725324339617,-40.2957,extended_v3_rolling
wind_farms_hourly,sg_carpark,far,1.9364085278936338,4.1149,extended_v3_rolling
wind_farms_hourly,coastal_ts,far,2.563193217046468,-7.2325,extended_v3_rolling
wind_farms_hourly,boom_hourly,far,0.8573026479803847,-16.5993,extended_v3_rolling
