dataset,H,K,output_patch_size,quantile_set,num_quantiles,readout,metric,layer,point,ci_lo,ci_hi,delta_vs_L11,delta_ci_lo,delta_ci_hi,delta_above_zero,is_primary_comparison,val_selected_layer,n_test_series,n_test_windows,bootstrap_seed,n_replicates
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,0,5.1841888427734375,4.886577523743705,5.483229145399131,-0.12994623184204102,-0.22326682764780195,-0.04373716734309632,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,1,4.997244834899902,4.710136981694028,5.2885365675990075,0.05699777603149414,-0.022959738802212935,0.13206688653971788,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,2,4.787846565246582,4.520112315241124,5.057531949732433,0.26639604568481445,0.2010510993658327,0.3316680975739638,True,True,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,3,4.858223915100098,4.596980033183625,5.124004587187383,0.19601869583129883,0.12775980979384843,0.26438823246575816,True,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,4,4.9393110275268555,4.671062247925468,5.204920850097134,0.11493158340454102,0.04448156296280816,0.18318702843976367,True,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,5,5.032782077789307,4.7690219567738605,5.297133264230708,0.021460533142089844,-0.05702823115297349,0.096489933973744,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,6,5.136445045471191,4.868722093431148,5.403078904698391,-0.08220243453979492,-0.15391601945406402,-0.014738744853865803,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,7,5.272824764251709,5.005130214745955,5.539484244595289,-0.2185821533203125,-0.28978539331579684,-0.14914720932965767,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,8,5.336223125457764,5.0748413545369875,5.600610582813192,-0.2819805145263672,-0.3508962703061679,-0.21646652886199036,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,9,5.205071449279785,4.945021327486762,5.458212063691713,-0.15082883834838867,-0.2140403801608977,-0.09116696506850966,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,10,5.122270107269287,4.861019112447614,5.379079853256489,-0.06802749633789062,-0.12005686087962167,-0.015857925094899604,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,quantile_loss,11,5.0542426109313965,4.800650526925782,5.308822936419343,0.0,0.0,0.0,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,0,1.5183279656271107,1.4660424100278184,1.5756311507928145,0.02720996032497114,-0.0003263145902449748,0.05575037952333523,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,1,1.4792307198056933,1.4239480292094946,1.5406848749390694,0.06630720614638852,0.04198684510636954,0.09135813251037556,True,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,2,1.422495698235438,1.3683939847210858,1.4835683335607956,0.12304222771664386,0.10111769793401443,0.1450134812567902,True,True,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,3,1.4656943029850251,1.406480560234022,1.5311764881252428,0.07984362296705672,0.05826037942076721,0.10203558407859467,True,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,4,1.489016477546101,1.4288048216558973,1.556667624699688,0.056521448405980834,0.03727434264876483,0.07487152768271853,True,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,5,1.5219044114648652,1.458501270681919,1.5911085828737233,0.023633514487216623,0.0027899810226129753,0.043196567701784844,True,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,6,1.5473198210518704,1.486341891416468,1.6137529510594992,-0.001781895099788544,-0.023422248342755362,0.020219667163443804,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,7,1.6025231079350235,1.5369239473586462,1.675210908363854,-0.05698518198294167,-0.07676628781113576,-0.037362890631143626,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,8,1.6260764184094427,1.559645366931297,1.6973445221341736,-0.08053849245736089,-0.10193184112052162,-0.059754638519629345,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,9,1.5722862472130172,1.5106488572740164,1.6397027232359758,-0.026748321260935404,-0.045585514651927075,-0.007695141292331394,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,10,1.5536577404707652,1.4901676429017883,1.624039067815865,-0.008119814518683377,-0.02408515529436655,0.008262506213487272,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,content,mase_context,11,1.5455379259520818,1.4833269158564084,1.6133813225108597,0.0,0.0,0.0,False,False,2,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,reg,quantile_loss,0,4.927204608917236,4.642011797813379,5.208127356448438,-0.17393112182617188,-0.26525588082142326,-0.08888084862309312,False,False,3,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,reg,quantile_loss,1,4.719818115234375,4.451517964283284,4.98262874665667,0.03345537185668945,-0.039076604426912166,0.10513361400686101,False,False,3,318,1500,0,5000
monash_electricity_hourly,64,4,16,q21,21,reg,quantile_loss,2,4.505058765411377,4.2564096536666955,4.75263212072613,0.2482147216796875,0.19220942931262675,0.303144409816505,True,False,3,318,1500,0,5000
