,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.968300,0.945650,0.919548,0.886723,0.818401,0.778509,0.752608,0.616140,0.598968,0.536206,0.378904,0.401642,0.348702
L1,0.968300,1.000000,0.991935,0.975064,0.945535,0.886120,0.842578,0.810601,0.690348,0.672267,0.604375,0.432941,0.437811,0.406345
L2,0.945650,0.991935,1.000000,0.993676,0.973631,0.926300,0.887566,0.859439,0.746074,0.728120,0.665021,0.495308,0.481382,0.468237
L3,0.919548,0.975064,0.993676,1.000000,0.989862,0.953409,0.918500,0.892777,0.780425,0.761293,0.701950,0.536456,0.510364,0.510281
L4,0.886723,0.945535,0.973631,0.989862,1.000000,0.981739,0.957175,0.936378,0.836733,0.813890,0.756030,0.592169,0.530593,0.550385
L5,0.818401,0.886120,0.926300,0.953409,0.981739,1.000000,0.990837,0.978896,0.901906,0.875282,0.821655,0.664757,0.562441,0.608466
L6,0.778509,0.842578,0.887566,0.918500,0.957175,0.990837,1.000000,0.993315,0.932267,0.901819,0.850445,0.697725,0.566722,0.629777
L7,0.752608,0.810601,0.859439,0.892777,0.936378,0.978896,0.993315,1.000000,0.945230,0.917644,0.869881,0.717565,0.577249,0.644814
L8,0.616140,0.690348,0.746074,0.780425,0.836733,0.901906,0.932267,0.945230,1.000000,0.982520,0.936167,0.778355,0.550387,0.656686
L9,0.598968,0.672267,0.728120,0.761293,0.813890,0.875282,0.901819,0.917644,0.982520,1.000000,0.967881,0.799397,0.544900,0.660321
L10,0.536206,0.604375,0.665021,0.701950,0.756030,0.821655,0.850445,0.869881,0.936167,0.967881,1.000000,0.875953,0.573341,0.715100
L11,0.378904,0.432941,0.495308,0.536456,0.592169,0.664757,0.697725,0.717565,0.778355,0.799397,0.875953,1.000000,0.671306,0.862362
L12,0.401642,0.437811,0.481382,0.510364,0.530593,0.562441,0.566722,0.577249,0.550387,0.544900,0.573341,0.671306,1.000000,0.818145
L12+LN,0.348702,0.406345,0.468237,0.510281,0.550385,0.608466,0.629777,0.644814,0.656686,0.660321,0.715100,0.862362,0.818145,1.000000
