,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.963237,0.928960,0.916468,0.908940,0.899239,0.877460,0.872562,0.806168,0.749658,0.773952,0.766899,0.836333,0.736139
L1,0.963237,1.000000,0.986639,0.980527,0.972663,0.962454,0.940969,0.933062,0.856079,0.792180,0.821887,0.831972,0.865859,0.789140
L2,0.928960,0.986639,1.000000,0.997965,0.991182,0.983064,0.962688,0.956063,0.874601,0.808139,0.842962,0.857755,0.903854,0.775429
L3,0.916468,0.980527,0.997965,1.000000,0.996283,0.989556,0.972417,0.965801,0.888538,0.823544,0.856204,0.871139,0.900563,0.785923
L4,0.908940,0.972663,0.991182,0.996283,1.000000,0.996998,0.986191,0.980586,0.914057,0.852749,0.881152,0.893193,0.899899,0.797982
L5,0.899239,0.962454,0.983064,0.989556,0.996998,1.000000,0.994661,0.991460,0.935620,0.879290,0.904908,0.914328,0.899115,0.812177
L6,0.877460,0.940969,0.962688,0.972417,0.986191,0.994661,1.000000,0.998334,0.956139,0.904897,0.925412,0.931092,0.885253,0.825831
L7,0.872562,0.933062,0.956063,0.965801,0.980586,0.991460,0.998334,1.000000,0.966377,0.919721,0.939208,0.942483,0.884434,0.828127
L8,0.806168,0.856079,0.874601,0.888538,0.914057,0.935620,0.956139,0.966377,1.000000,0.985630,0.986458,0.973380,0.801304,0.834777
L9,0.749658,0.792180,0.808139,0.823544,0.852749,0.879290,0.904897,0.919721,0.985630,1.000000,0.990586,0.967222,0.736119,0.821526
L10,0.773952,0.821887,0.842962,0.856204,0.881152,0.904908,0.925412,0.939208,0.986458,0.990586,1.000000,0.985140,0.780359,0.831701
L11,0.766899,0.831972,0.857755,0.871139,0.893193,0.914328,0.931092,0.942483,0.973380,0.967222,0.985140,1.000000,0.792860,0.851027
L12,0.836333,0.865859,0.903854,0.900563,0.899899,0.899115,0.885253,0.884434,0.801304,0.736119,0.780359,0.792860,1.000000,0.652842
L12+LN,0.736139,0.789140,0.775429,0.785923,0.797982,0.812177,0.825831,0.828127,0.834777,0.821526,0.831701,0.851027,0.652842,1.000000
