,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.981319,0.959334,0.946137,0.924877,0.899709,0.875365,0.862777,0.798710,0.723370,0.641902,0.570881,0.734892,0.729982
L1,0.981319,1.000000,0.993797,0.985848,0.971317,0.950883,0.927860,0.912064,0.850973,0.775338,0.692098,0.615840,0.713851,0.728352
L2,0.959334,0.993797,1.000000,0.996122,0.986346,0.970096,0.949531,0.933873,0.877665,0.804257,0.723428,0.646155,0.697740,0.725036
L3,0.946137,0.985848,0.996122,1.000000,0.995515,0.983863,0.966247,0.952575,0.900772,0.831855,0.753664,0.674533,0.700528,0.734624
L4,0.924877,0.971317,0.986346,0.995515,1.000000,0.994385,0.981843,0.969733,0.924995,0.860895,0.786366,0.705399,0.692899,0.737129
L5,0.899709,0.950883,0.970096,0.983863,0.994385,1.000000,0.993413,0.984677,0.949256,0.892628,0.822702,0.741366,0.693177,0.745115
L6,0.875365,0.927860,0.949531,0.966247,0.981843,0.993413,1.000000,0.993412,0.966632,0.914249,0.848398,0.768851,0.682655,0.745013
L7,0.862777,0.912064,0.933873,0.952575,0.969733,0.984677,0.993412,1.000000,0.978800,0.934373,0.872416,0.792846,0.690661,0.756156
L8,0.798710,0.850973,0.877665,0.900772,0.924995,0.949256,0.966632,0.978800,1.000000,0.974947,0.927241,0.850166,0.673472,0.751692
L9,0.723370,0.775338,0.804257,0.831855,0.860895,0.892628,0.914249,0.934373,0.974947,1.000000,0.967850,0.891454,0.656016,0.746955
L10,0.641902,0.692098,0.723428,0.753664,0.786366,0.822702,0.848398,0.872416,0.927241,0.967850,1.000000,0.941661,0.621793,0.725493
L11,0.570881,0.615840,0.646155,0.674533,0.705399,0.741366,0.768851,0.792846,0.850166,0.891454,0.941661,1.000000,0.597636,0.718674
L12,0.734892,0.713851,0.697740,0.700528,0.692899,0.693177,0.682655,0.690661,0.673472,0.656016,0.621793,0.597636,1.000000,0.847846
L12+LN,0.729982,0.728352,0.725036,0.734624,0.737129,0.745115,0.745013,0.756156,0.751692,0.746955,0.725493,0.718674,0.847846,1.000000
