,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.996357,0.991832,0.986327,0.979512,0.968141,0.953472,0.930484,0.904182,0.875267,0.858015,0.864058,0.942323,0.943063
L1,0.996357,1.000000,0.998372,0.995268,0.990254,0.980523,0.967807,0.946503,0.921613,0.894970,0.878871,0.886140,0.948015,0.946252
L2,0.991832,0.998372,1.000000,0.998533,0.994874,0.986989,0.975487,0.955615,0.932389,0.906718,0.891103,0.896802,0.949329,0.941734
L3,0.986327,0.995268,0.998533,1.000000,0.998414,0.992747,0.983298,0.965420,0.944258,0.920177,0.905393,0.909074,0.949874,0.939423
L4,0.979512,0.990254,0.994874,0.998414,1.000000,0.997194,0.990313,0.975243,0.956531,0.934492,0.920469,0.921770,0.950541,0.936505
L5,0.968141,0.980523,0.986989,0.992747,0.997194,1.000000,0.996909,0.985722,0.970710,0.950796,0.937284,0.934858,0.947747,0.927504
L6,0.953472,0.967807,0.975487,0.983298,0.990313,0.996909,1.000000,0.993842,0.983123,0.966078,0.953644,0.948845,0.943825,0.921658
L7,0.930484,0.946503,0.955615,0.965420,0.975243,0.985722,0.993842,1.000000,0.993949,0.983012,0.971422,0.963892,0.936709,0.910684
L8,0.904182,0.921613,0.932389,0.944258,0.956531,0.970710,0.983123,0.993949,1.000000,0.992184,0.984006,0.972105,0.922295,0.889117
L9,0.875267,0.894970,0.906718,0.920177,0.934492,0.950796,0.966078,0.983012,0.992184,1.000000,0.993460,0.979950,0.907547,0.872029
L10,0.858015,0.878871,0.891103,0.905393,0.920469,0.937284,0.953644,0.971422,0.984006,0.993460,1.000000,0.986655,0.901174,0.860708
L11,0.864058,0.886140,0.896802,0.909074,0.921770,0.934858,0.948845,0.963892,0.972105,0.979950,0.986655,1.000000,0.917578,0.882483
L12,0.942323,0.948015,0.949329,0.949874,0.950541,0.947747,0.943825,0.936709,0.922295,0.907547,0.901174,0.917578,1.000000,0.943261
L12+LN,0.943063,0.946252,0.941734,0.939423,0.936505,0.927504,0.921658,0.910684,0.889117,0.872029,0.860708,0.882483,0.943261,1.000000
