,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.995756,0.990267,0.983378,0.975576,0.965441,0.954143,0.941662,0.919692,0.897992,0.884326,0.895948,0.922904,0.936625
L1,0.995756,1.000000,0.998165,0.994264,0.988645,0.980218,0.970452,0.958425,0.937904,0.917014,0.904800,0.915962,0.927602,0.932268
L2,0.990267,0.998165,1.000000,0.998013,0.993786,0.987111,0.978333,0.966850,0.947730,0.926515,0.914394,0.923713,0.926132,0.925927
L3,0.983378,0.994264,0.998013,1.000000,0.998283,0.993794,0.986901,0.976662,0.959607,0.939500,0.928265,0.934609,0.924470,0.919169
L4,0.975576,0.988645,0.993786,0.998283,1.000000,0.997690,0.992633,0.983499,0.968571,0.949691,0.939598,0.943017,0.919022,0.910216
L5,0.965441,0.980218,0.987111,0.993794,0.997690,1.000000,0.997506,0.990312,0.978263,0.960405,0.950492,0.950597,0.914350,0.901747
L6,0.954143,0.970452,0.978333,0.986901,0.992633,0.997506,1.000000,0.995040,0.985950,0.969554,0.959677,0.957984,0.909599,0.895639
L7,0.941662,0.958425,0.966850,0.976662,0.983499,0.990312,0.995040,1.000000,0.993779,0.981928,0.971760,0.966966,0.906515,0.886011
L8,0.919692,0.937904,0.947730,0.959607,0.968571,0.978263,0.985950,0.993779,1.000000,0.989709,0.980252,0.969714,0.888456,0.861913
L9,0.897992,0.917014,0.926515,0.939500,0.949691,0.960405,0.969554,0.981928,0.989709,1.000000,0.992041,0.977882,0.877637,0.844032
L10,0.884326,0.904800,0.914394,0.928265,0.939598,0.950492,0.959677,0.971760,0.980252,0.992041,1.000000,0.985062,0.871217,0.830467
L11,0.895948,0.915962,0.923713,0.934609,0.943017,0.950597,0.957984,0.966966,0.969714,0.977882,0.985062,1.000000,0.892540,0.863247
L12,0.922904,0.927602,0.926132,0.924470,0.919022,0.914350,0.909599,0.906515,0.888456,0.877637,0.871217,0.892540,1.000000,0.925848
L12+LN,0.936625,0.932268,0.925927,0.919169,0.910216,0.901747,0.895639,0.886011,0.861913,0.844032,0.830467,0.863247,0.925848,1.000000
