,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.994732,0.987571,0.977631,0.960201,0.933687,0.911128,0.897138,0.876602,0.848214,0.843530,0.857773,0.922095,0.913775
L1,0.994732,1.000000,0.997447,0.991687,0.978513,0.955957,0.935896,0.922980,0.904064,0.877291,0.872229,0.885463,0.929292,0.915240
L2,0.987571,0.997447,1.000000,0.997376,0.987891,0.969426,0.951563,0.940079,0.923208,0.897695,0.892155,0.901551,0.926694,0.907394
L3,0.977631,0.991687,0.997376,1.000000,0.995560,0.982098,0.967422,0.957361,0.942865,0.919653,0.913955,0.920629,0.925225,0.902684
L4,0.960201,0.978513,0.987891,0.995560,1.000000,0.994598,0.985068,0.977070,0.965514,0.945511,0.939447,0.941040,0.916019,0.889892
L5,0.933687,0.955957,0.969426,0.982098,0.994598,1.000000,0.996514,0.990727,0.982419,0.965724,0.959310,0.954967,0.899616,0.868005
L6,0.911128,0.935896,0.951563,0.967422,0.985068,0.996514,1.000000,0.996460,0.990528,0.976739,0.970258,0.963844,0.889012,0.854939
L7,0.897138,0.922980,0.940079,0.957361,0.977070,0.990727,0.996460,1.000000,0.996041,0.986049,0.979926,0.971256,0.883191,0.847587
L8,0.876602,0.904064,0.923208,0.942865,0.965514,0.982419,0.990528,0.996041,1.000000,0.992732,0.986962,0.974181,0.867665,0.831424
L9,0.848214,0.877291,0.897695,0.919653,0.945511,0.965724,0.976739,0.986049,0.992732,1.000000,0.994766,0.979430,0.853590,0.818796
L10,0.843530,0.872229,0.892155,0.913955,0.939447,0.959310,0.970258,0.979926,0.986962,0.994766,1.000000,0.984163,0.858439,0.825256
L11,0.857773,0.885463,0.901551,0.920629,0.941040,0.954967,0.963844,0.971256,0.974181,0.979430,0.984163,1.000000,0.891003,0.861515
L12,0.922095,0.929292,0.926694,0.925225,0.916019,0.899616,0.889012,0.883191,0.867665,0.853590,0.858439,0.891003,1.000000,0.939713
L12+LN,0.913775,0.915240,0.907394,0.902684,0.889892,0.868005,0.854939,0.847587,0.831424,0.818796,0.825256,0.861515,0.939713,1.000000
