,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.966354,0.894901,0.864063,0.828993,0.792675,0.724665,0.702460,0.634084,0.564230,0.527637,0.506960,0.230057,0.529934
L1,0.966354,1.000000,0.974192,0.955387,0.930599,0.899637,0.830367,0.812179,0.745366,0.677930,0.651157,0.629239,0.374723,0.594120
L2,0.894901,0.974192,1.000000,0.994272,0.979969,0.957150,0.890352,0.878645,0.817016,0.754670,0.740261,0.717058,0.521254,0.614223
L3,0.864063,0.955387,0.994272,1.000000,0.993351,0.976261,0.915879,0.906519,0.848702,0.789126,0.775760,0.749556,0.548315,0.616275
L4,0.828993,0.930599,0.979969,0.993351,1.000000,0.991291,0.943316,0.936269,0.885886,0.830467,0.817286,0.788091,0.573411,0.626733
L5,0.792675,0.899637,0.957150,0.976261,0.991291,1.000000,0.971272,0.966129,0.924791,0.872090,0.855584,0.819780,0.590531,0.631687
L6,0.724665,0.830367,0.890352,0.915879,0.943316,0.971272,1.000000,0.994008,0.967317,0.914256,0.889595,0.844394,0.574092,0.628667
L7,0.702460,0.812179,0.878645,0.906519,0.936269,0.966129,0.994008,1.000000,0.978261,0.934022,0.912729,0.866345,0.593946,0.633043
L8,0.634084,0.745366,0.817016,0.848702,0.885886,0.924791,0.967317,0.978261,1.000000,0.974997,0.950370,0.895092,0.585342,0.624324
L9,0.564230,0.677930,0.754670,0.789126,0.830467,0.872090,0.914256,0.934022,0.974997,1.000000,0.979852,0.924626,0.577746,0.632389
L10,0.527637,0.651157,0.740261,0.775760,0.817286,0.855584,0.889595,0.912729,0.950370,0.979852,1.000000,0.955511,0.629683,0.639670
L11,0.506960,0.629239,0.717058,0.749556,0.788091,0.819780,0.844394,0.866345,0.895092,0.924626,0.955511,1.000000,0.634414,0.720767
L12,0.230057,0.374723,0.521254,0.548315,0.573411,0.590531,0.574092,0.593946,0.585342,0.577746,0.629683,0.634414,1.000000,0.406512
L12+LN,0.529934,0.594120,0.614223,0.616275,0.626733,0.631687,0.628667,0.633043,0.624324,0.632389,0.639670,0.720767,0.406512,1.000000
