,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.295973,0.256963,0.253859,0.263785,0.245700,0.262869,0.250000,0.278440,0.211991,0.015305,0.008644,0.004426,0.033818
L1,0.295973,1.000000,0.974242,0.960065,0.934994,0.894267,0.825707,0.816464,0.800719,0.763100,0.276835,0.344039,0.419144,0.546652
L2,0.256963,0.974242,1.000000,0.993355,0.971330,0.932456,0.859706,0.854776,0.832843,0.799681,0.296928,0.371038,0.446459,0.580959
L3,0.253859,0.960065,0.993355,1.000000,0.986121,0.954757,0.886450,0.881391,0.858487,0.825013,0.290078,0.363060,0.436124,0.595591
L4,0.263785,0.934994,0.971330,0.986121,1.000000,0.982023,0.924070,0.918168,0.897009,0.860752,0.292695,0.363669,0.432278,0.613402
L5,0.245700,0.894267,0.932456,0.954757,0.982023,1.000000,0.963554,0.957507,0.935718,0.891859,0.292856,0.359268,0.420750,0.620081
L6,0.262869,0.825707,0.859706,0.886450,0.924070,0.963554,1.000000,0.987885,0.965624,0.899555,0.273251,0.333206,0.390432,0.588777
L7,0.250000,0.816464,0.854776,0.881391,0.918168,0.957507,0.987885,1.000000,0.981229,0.930076,0.291366,0.357014,0.422341,0.616490
L8,0.278440,0.800719,0.832843,0.858487,0.897009,0.935718,0.965624,0.981229,1.000000,0.955078,0.299607,0.364232,0.426462,0.626549
L9,0.211991,0.763100,0.799681,0.825013,0.860752,0.891859,0.899555,0.930076,0.955078,1.000000,0.361436,0.437794,0.504773,0.701349
L10,0.015305,0.276835,0.296928,0.290078,0.292695,0.292856,0.273251,0.291366,0.299607,0.361436,1.000000,0.940373,0.702203,0.253554
L11,0.008644,0.344039,0.371038,0.363060,0.363669,0.359268,0.333206,0.357014,0.364232,0.437794,0.940373,1.000000,0.871657,0.350721
L12,0.004426,0.419144,0.446459,0.436124,0.432278,0.420750,0.390432,0.422341,0.426462,0.504773,0.702203,0.871657,1.000000,0.490262
L12+LN,0.033818,0.546652,0.580959,0.595591,0.613402,0.620081,0.588777,0.616490,0.626549,0.701349,0.253554,0.350721,0.490262,1.000000
