,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.197699,0.199647,0.201773,0.197705,0.178953,0.187797,0.181867,0.206341,0.183550,0.166766,0.089104,0.027630,0.057631
L1,0.197699,1.000000,0.987926,0.975407,0.951609,0.920150,0.885577,0.873179,0.858856,0.837351,0.811509,0.796350,0.732331,0.679628
L2,0.199647,0.987926,1.000000,0.994761,0.978056,0.950875,0.916188,0.905249,0.891854,0.873988,0.852654,0.838781,0.782393,0.721830
L3,0.201773,0.975407,0.994761,1.000000,0.990453,0.969812,0.937629,0.927868,0.914368,0.897554,0.876900,0.863042,0.810670,0.750216
L4,0.197705,0.951609,0.978056,0.990453,1.000000,0.989459,0.963529,0.955051,0.941760,0.924623,0.900521,0.877950,0.828084,0.777375
L5,0.178953,0.920150,0.950875,0.969812,0.989459,1.000000,0.985197,0.979030,0.966502,0.948836,0.918989,0.882361,0.833460,0.797038
L6,0.187797,0.885577,0.916188,0.937629,0.963529,0.985197,1.000000,0.994733,0.982524,0.958427,0.919511,0.864543,0.807458,0.784320
L7,0.181867,0.873179,0.905249,0.927868,0.955051,0.979030,0.994733,1.000000,0.989857,0.970210,0.930471,0.867407,0.810779,0.792973
L8,0.206341,0.858856,0.891854,0.914368,0.941760,0.966502,0.982524,0.989857,1.000000,0.984165,0.943188,0.868104,0.805995,0.796575
L9,0.183550,0.837351,0.873988,0.897554,0.924623,0.948836,0.958427,0.970210,0.984165,1.000000,0.973562,0.897929,0.829197,0.837621
L10,0.166766,0.811509,0.852654,0.876900,0.900521,0.918989,0.919511,0.930471,0.943188,0.973562,1.000000,0.952261,0.876992,0.883721
L11,0.089104,0.796350,0.838781,0.863042,0.877950,0.882361,0.864543,0.867407,0.868104,0.897929,0.952261,1.000000,0.937367,0.895614
L12,0.027630,0.732331,0.782393,0.810670,0.828084,0.833460,0.807458,0.810779,0.805995,0.829197,0.876992,0.937367,1.000000,0.889464
L12+LN,0.057631,0.679628,0.721830,0.750216,0.777375,0.797038,0.784320,0.792973,0.796575,0.837621,0.883721,0.895614,0.889464,1.000000
