,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.550674,0.555588,0.466016,0.328303,0.171367,0.149359,0.100957,0.111010,0.072552,0.067924,0.047388,0.030537,0.031795
L1,0.550674,1.000000,0.968222,0.842505,0.625712,0.409423,0.380988,0.310075,0.315342,0.257496,0.239282,0.207180,0.175344,0.140905
L2,0.555588,0.968222,1.000000,0.910781,0.725535,0.505579,0.471963,0.392523,0.400426,0.330921,0.310025,0.274068,0.240480,0.180925
L3,0.466016,0.842505,0.910781,1.000000,0.932207,0.793085,0.768388,0.694999,0.695990,0.633908,0.612837,0.578619,0.548310,0.481273
L4,0.328303,0.625712,0.725535,0.932207,1.000000,0.937534,0.919930,0.858302,0.857773,0.802642,0.781661,0.749464,0.722269,0.638498
L5,0.171367,0.409423,0.505579,0.793085,0.937534,1.000000,0.995663,0.976015,0.973309,0.945715,0.932829,0.910174,0.887148,0.807392
L6,0.149359,0.380988,0.471963,0.768388,0.919930,0.995663,1.000000,0.982308,0.978630,0.952679,0.939905,0.917680,0.895122,0.816767
L7,0.100957,0.310075,0.392523,0.694999,0.858302,0.976015,0.982308,1.000000,0.997437,0.987740,0.978573,0.960618,0.934267,0.855080
L8,0.111010,0.315342,0.400426,0.695990,0.857773,0.973309,0.978630,0.997437,1.000000,0.988505,0.979999,0.961417,0.933401,0.850831
L9,0.072552,0.257496,0.330921,0.633908,0.802642,0.945715,0.952679,0.987740,0.988505,1.000000,0.996108,0.984001,0.959069,0.895129
L10,0.067924,0.239282,0.310025,0.612837,0.781661,0.932829,0.939905,0.978573,0.979999,0.996108,1.000000,0.992588,0.970973,0.912249
L11,0.047388,0.207180,0.274068,0.578619,0.749464,0.910174,0.917680,0.960618,0.961417,0.984001,0.992588,1.000000,0.986444,0.930382
L12,0.030537,0.175344,0.240480,0.548310,0.722269,0.887148,0.895122,0.934267,0.933401,0.959069,0.970973,0.986444,1.000000,0.937830
L12+LN,0.031795,0.140905,0.180925,0.481273,0.638498,0.807392,0.816767,0.855080,0.850831,0.895129,0.912249,0.930382,0.937830,1.000000
