dataset,row_layer,col_layer,cka_biased,cka_unbiased,delta
monash_electricity_hourly,Embed,Embed,1.00000000,1.00000000,-0.00000000
monash_electricity_hourly,Embed,L1,0.60070637,0.60098608,-0.00027972
monash_electricity_hourly,Embed,L2,0.59251898,0.59297355,-0.00045456
monash_electricity_hourly,Embed,L3,0.59158477,0.59195198,-0.00036721
monash_electricity_hourly,Embed,L4,0.55313708,0.55325983,-0.00012275
monash_electricity_hourly,Embed,L5,0.42170748,0.42111931,0.00058817
monash_electricity_hourly,Embed,L6,0.38149047,0.38079881,0.00069166
monash_electricity_hourly,Embed,L7,0.27761027,0.27627705,0.00133322
monash_electricity_hourly,Embed,L8,0.28163132,0.28031094,0.00132038
monash_electricity_hourly,Embed,L9,0.25446714,0.25299642,0.00147072
monash_electricity_hourly,Embed,L10,0.24446223,0.24306849,0.00139375
monash_electricity_hourly,Embed,L11,0.18231651,0.18095768,0.00135883
monash_electricity_hourly,Embed,L12,0.14232751,0.14122663,0.00110088
monash_electricity_hourly,Embed,L12 (post LN),0.11594191,0.11477036,0.00117155
monash_electricity_hourly,L1,Embed,0.60070637,0.60098608,-0.00027972
monash_electricity_hourly,L1,L1,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L1,L2,0.98437846,0.98441596,-0.00003751
monash_electricity_hourly,L1,L3,0.91007826,0.90976205,0.00031620
monash_electricity_hourly,L1,L4,0.77326151,0.77225254,0.00100898
monash_electricity_hourly,L1,L5,0.58663566,0.58461307,0.00202258
monash_electricity_hourly,L1,L6,0.53548724,0.53310574,0.00238150
monash_electricity_hourly,L1,L7,0.43745312,0.43456464,0.00288848
monash_electricity_hourly,L1,L8,0.44137727,0.43832032,0.00305695
monash_electricity_hourly,L1,L9,0.35376031,0.35090382,0.00285649
monash_electricity_hourly,L1,L10,0.32751799,0.32473901,0.00277898
monash_electricity_hourly,L1,L11,0.27245169,0.26948996,0.00296172
monash_electricity_hourly,L1,L12,0.21417265,0.21074115,0.00343150
monash_electricity_hourly,L1,L12 (post LN),0.12630839,0.12408654,0.00222186
monash_electricity_hourly,L2,Embed,0.59251898,0.59297355,-0.00045456
monash_electricity_hourly,L2,L1,0.98437846,0.98441596,-0.00003751
monash_electricity_hourly,L2,L2,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L2,L3,0.93637872,0.93599888,0.00037983
monash_electricity_hourly,L2,L4,0.80170121,0.80053835,0.00116286
monash_electricity_hourly,L2,L5,0.61860163,0.61635016,0.00225147
monash_electricity_hourly,L2,L6,0.56431439,0.56160601,0.00270838
monash_electricity_hourly,L2,L7,0.46591175,0.46272125,0.00319050
monash_electricity_hourly,L2,L8,0.46999722,0.46662658,0.00337064
monash_electricity_hourly,L2,L9,0.38049248,0.37737083,0.00312165
monash_electricity_hourly,L2,L10,0.35413002,0.35108942,0.00304061
monash_electricity_hourly,L2,L11,0.30023967,0.29689299,0.00334668
monash_electricity_hourly,L2,L12,0.24632128,0.24215781,0.00416347
monash_electricity_hourly,L2,L12 (post LN),0.15430780,0.15185115,0.00245665
monash_electricity_hourly,L3,Embed,0.59158477,0.59195198,-0.00036721
monash_electricity_hourly,L3,L1,0.91007826,0.90976205,0.00031620
monash_electricity_hourly,L3,L2,0.93637872,0.93599888,0.00037983
monash_electricity_hourly,L3,L3,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L3,L4,0.95179489,0.95148890,0.00030599
monash_electricity_hourly,L3,L5,0.84204749,0.84104866,0.00099882
monash_electricity_hourly,L3,L6,0.79985687,0.79856223,0.00129464
monash_electricity_hourly,L3,L7,0.72271798,0.72090701,0.00181097
monash_electricity_hourly,L3,L8,0.72338242,0.72145385,0.00192857
monash_electricity_hourly,L3,L9,0.64800333,0.64615198,0.00185134
monash_electricity_hourly,L3,L10,0.62600807,0.62419661,0.00181146
monash_electricity_hourly,L3,L11,0.57216986,0.57008939,0.00208047
monash_electricity_hourly,L3,L12,0.49804485,0.49559266,0.00245219
monash_electricity_hourly,L3,L12 (post LN),0.42836005,0.42681508,0.00154496
monash_electricity_hourly,L4,Embed,0.55313708,0.55325983,-0.00012275
monash_electricity_hourly,L4,L1,0.77326151,0.77225254,0.00100898
monash_electricity_hourly,L4,L2,0.80170121,0.80053835,0.00116286
monash_electricity_hourly,L4,L3,0.95179489,0.95148890,0.00030599
monash_electricity_hourly,L4,L4,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L4,L5,0.95521446,0.95489694,0.00031752
monash_electricity_hourly,L4,L6,0.92611730,0.92562843,0.00048887
monash_electricity_hourly,L4,L7,0.86910464,0.86814506,0.00095958
monash_electricity_hourly,L4,L8,0.86681859,0.86577266,0.00104593
monash_electricity_hourly,L4,L9,0.81207308,0.81103685,0.00103622
monash_electricity_hourly,L4,L10,0.79096700,0.78994618,0.00102082
monash_electricity_hourly,L4,L11,0.73114226,0.72988408,0.00125818
monash_electricity_hourly,L4,L12,0.64063720,0.63941655,0.00122065
monash_electricity_hourly,L4,L12 (post LN),0.59627485,0.59529509,0.00097977
monash_electricity_hourly,L5,Embed,0.42170748,0.42111931,0.00058817
monash_electricity_hourly,L5,L1,0.58663566,0.58461307,0.00202258
monash_electricity_hourly,L5,L2,0.61860163,0.61635016,0.00225147
monash_electricity_hourly,L5,L3,0.84204749,0.84104866,0.00099882
monash_electricity_hourly,L5,L4,0.95521446,0.95489694,0.00031752
monash_electricity_hourly,L5,L5,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L5,L6,0.99097244,0.99098051,-0.00000807
monash_electricity_hourly,L5,L7,0.96751203,0.96726658,0.00024546
monash_electricity_hourly,L5,L8,0.96382579,0.96354041,0.00028538
monash_electricity_hourly,L5,L9,0.92185750,0.92152170,0.00033580
monash_electricity_hourly,L5,L10,0.90782128,0.90751244,0.00030883
monash_electricity_hourly,L5,L11,0.86384706,0.86345078,0.00039628
monash_electricity_hourly,L5,L12,0.76959090,0.76965028,-0.00005938
monash_electricity_hourly,L5,L12 (post LN),0.74963801,0.74931614,0.00032187
monash_electricity_hourly,L6,Embed,0.38149047,0.38079881,0.00069166
monash_electricity_hourly,L6,L1,0.53548724,0.53310574,0.00238150
monash_electricity_hourly,L6,L2,0.56431439,0.56160601,0.00270838
monash_electricity_hourly,L6,L3,0.79985687,0.79856223,0.00129464
monash_electricity_hourly,L6,L4,0.92611730,0.92562843,0.00048887
monash_electricity_hourly,L6,L5,0.99097244,0.99098051,-0.00000807
monash_electricity_hourly,L6,L6,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L6,L7,0.98202477,0.98194887,0.00007590
monash_electricity_hourly,L6,L8,0.97841420,0.97826132,0.00015288
monash_electricity_hourly,L6,L9,0.93393723,0.93384753,0.00008970
monash_electricity_hourly,L6,L10,0.91792499,0.91791876,0.00000623
monash_electricity_hourly,L6,L11,0.87564924,0.87561299,0.00003625
monash_electricity_hourly,L6,L12,0.77847566,0.77901153,-0.00053587
monash_electricity_hourly,L6,L12 (post LN),0.76112927,0.76110615,0.00002312
monash_electricity_hourly,L7,Embed,0.27761027,0.27627705,0.00133322
monash_electricity_hourly,L7,L1,0.43745312,0.43456464,0.00288848
monash_electricity_hourly,L7,L2,0.46591175,0.46272125,0.00319050
monash_electricity_hourly,L7,L3,0.72271798,0.72090701,0.00181097
monash_electricity_hourly,L7,L4,0.86910464,0.86814506,0.00095958
monash_electricity_hourly,L7,L5,0.96751203,0.96726658,0.00024546
monash_electricity_hourly,L7,L6,0.98202477,0.98194887,0.00007590
monash_electricity_hourly,L7,L7,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L7,L8,0.99687383,0.99686900,0.00000483
monash_electricity_hourly,L7,L9,0.96389215,0.96383512,0.00005703
monash_electricity_hourly,L7,L10,0.95289647,0.95285633,0.00004014
monash_electricity_hourly,L7,L11,0.92186244,0.92183753,0.00002491
monash_electricity_hourly,L7,L12,0.82601674,0.82672317,-0.00070643
monash_electricity_hourly,L7,L12 (post LN),0.81370900,0.81361788,0.00009112
monash_electricity_hourly,L8,Embed,0.28163132,0.28031094,0.00132038
monash_electricity_hourly,L8,L1,0.44137727,0.43832032,0.00305695
monash_electricity_hourly,L8,L2,0.46999722,0.46662658,0.00337064
monash_electricity_hourly,L8,L3,0.72338242,0.72145385,0.00192857
monash_electricity_hourly,L8,L4,0.86681859,0.86577266,0.00104593
monash_electricity_hourly,L8,L5,0.96382579,0.96354041,0.00028538
monash_electricity_hourly,L8,L6,0.97841420,0.97826132,0.00015288
monash_electricity_hourly,L8,L7,0.99687383,0.99686900,0.00000483
monash_electricity_hourly,L8,L8,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L8,L9,0.96510271,0.96510753,-0.00000482
monash_electricity_hourly,L8,L10,0.95506401,0.95512776,-0.00006375
monash_electricity_hourly,L8,L11,0.92407539,0.92417269,-0.00009730
monash_electricity_hourly,L8,L12,0.82943124,0.83028328,-0.00085204
monash_electricity_hourly,L8,L12 (post LN),0.81405215,0.81411577,-0.00006363
monash_electricity_hourly,L9,Embed,0.25446714,0.25299642,0.00147072
monash_electricity_hourly,L9,L1,0.35376031,0.35090382,0.00285649
monash_electricity_hourly,L9,L2,0.38049248,0.37737083,0.00312165
monash_electricity_hourly,L9,L3,0.64800333,0.64615198,0.00185134
monash_electricity_hourly,L9,L4,0.81207308,0.81103685,0.00103622
monash_electricity_hourly,L9,L5,0.92185750,0.92152170,0.00033580
monash_electricity_hourly,L9,L6,0.93393723,0.93384753,0.00008970
monash_electricity_hourly,L9,L7,0.96389215,0.96383512,0.00005703
monash_electricity_hourly,L9,L8,0.96510271,0.96510753,-0.00000482
monash_electricity_hourly,L9,L9,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L9,L10,0.99034424,0.99032575,0.00001849
monash_electricity_hourly,L9,L11,0.94530951,0.94533918,-0.00002967
monash_electricity_hourly,L9,L12,0.85035087,0.85126721,-0.00091634
monash_electricity_hourly,L9,L12 (post LN),0.85272850,0.85256678,0.00016172
monash_electricity_hourly,L10,Embed,0.24446223,0.24306849,0.00139375
monash_electricity_hourly,L10,L1,0.32751799,0.32473901,0.00277898
monash_electricity_hourly,L10,L2,0.35413002,0.35108942,0.00304061
monash_electricity_hourly,L10,L3,0.62600807,0.62419661,0.00181146
monash_electricity_hourly,L10,L4,0.79096700,0.78994618,0.00102082
monash_electricity_hourly,L10,L5,0.90782128,0.90751244,0.00030883
monash_electricity_hourly,L10,L6,0.91792499,0.91791876,0.00000623
monash_electricity_hourly,L10,L7,0.95289647,0.95285633,0.00004014
monash_electricity_hourly,L10,L8,0.95506401,0.95512776,-0.00006375
monash_electricity_hourly,L10,L9,0.99034424,0.99032575,0.00001849
monash_electricity_hourly,L10,L10,1.00000000,1.00000000,0.00000000
monash_electricity_hourly,L10,L11,0.97348716,0.97354756,-0.00006040
monash_electricity_hourly,L10,L12,0.88949359,0.89041381,-0.00092022
monash_electricity_hourly,L10,L12 (post LN),0.89390153,0.89382544,0.00007609
monash_electricity_hourly,L11,Embed,0.18231651,0.18095768,0.00135883
monash_electricity_hourly,L11,L1,0.27245169,0.26948996,0.00296172
monash_electricity_hourly,L11,L2,0.30023967,0.29689299,0.00334668
monash_electricity_hourly,L11,L3,0.57216986,0.57008939,0.00208047
monash_electricity_hourly,L11,L4,0.73114226,0.72988408,0.00125818
monash_electricity_hourly,L11,L5,0.86384706,0.86345078,0.00039628
monash_electricity_hourly,L11,L6,0.87564924,0.87561299,0.00003625
monash_electricity_hourly,L11,L7,0.92186244,0.92183753,0.00002491
monash_electricity_hourly,L11,L8,0.92407539,0.92417269,-0.00009730
monash_electricity_hourly,L11,L9,0.94530951,0.94533918,-0.00002967
monash_electricity_hourly,L11,L10,0.97348716,0.97354756,-0.00006040
monash_electricity_hourly,L11,L11,1.00000000,1.00000000,-0.00000000
monash_electricity_hourly,L11,L12,0.94119589,0.94177943,-0.00058354
monash_electricity_hourly,L11,L12 (post LN),0.93180548,0.93199370,-0.00018822
monash_electricity_hourly,L12,Embed,0.14232751,0.14122663,0.00110088
