,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.600986,0.592974,0.591952,0.553260,0.421119,0.380799,0.276277,0.280311,0.252996,0.243068,0.180958,0.141227,0.114770
L1,0.600986,1.000000,0.984416,0.909762,0.772253,0.584613,0.533106,0.434565,0.438320,0.350904,0.324739,0.269490,0.210741,0.124087
L2,0.592974,0.984416,1.000000,0.935999,0.800538,0.616350,0.561606,0.462721,0.466627,0.377371,0.351089,0.296893,0.242158,0.151851
L3,0.591952,0.909762,0.935999,1.000000,0.951489,0.841049,0.798562,0.720907,0.721454,0.646152,0.624197,0.570089,0.495593,0.426815
L4,0.553260,0.772253,0.800538,0.951489,1.000000,0.954897,0.925628,0.868145,0.865773,0.811037,0.789946,0.729884,0.639417,0.595295
L5,0.421119,0.584613,0.616350,0.841049,0.954897,1.000000,0.990981,0.967267,0.963540,0.921522,0.907512,0.863451,0.769650,0.749316
L6,0.380799,0.533106,0.561606,0.798562,0.925628,0.990981,1.000000,0.981949,0.978261,0.933848,0.917919,0.875613,0.779012,0.761106
L7,0.276277,0.434565,0.462721,0.720907,0.868145,0.967267,0.981949,1.000000,0.996869,0.963835,0.952856,0.921838,0.826723,0.813618
L8,0.280311,0.438320,0.466627,0.721454,0.865773,0.963540,0.978261,0.996869,1.000000,0.965108,0.955128,0.924173,0.830283,0.814116
L9,0.252996,0.350904,0.377371,0.646152,0.811037,0.921522,0.933848,0.963835,0.965108,1.000000,0.990326,0.945339,0.851267,0.852567
L10,0.243068,0.324739,0.351089,0.624197,0.789946,0.907512,0.917919,0.952856,0.955128,0.990326,1.000000,0.973548,0.890414,0.893825
L11,0.180958,0.269490,0.296893,0.570089,0.729884,0.863451,0.875613,0.921838,0.924173,0.945339,0.973548,1.000000,0.941779,0.931994
L12,0.141227,0.210741,0.242158,0.495593,0.639417,0.769650,0.779012,0.826723,0.830283,0.851267,0.890414,0.941779,1.000000,0.903499
L12+LN,0.114770,0.124087,0.151851,0.426815,0.595295,0.749316,0.761106,0.813618,0.814116,0.852567,0.893825,0.931994,0.903499,1.000000
