,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
Emb,1.000000,0.934225,0.871959,0.853035,0.840165,0.833703,0.824758,0.817207,0.788503,0.755129,0.707040,0.674314,0.793555
L1,0.934225,1.000000,0.975630,0.964156,0.953548,0.945914,0.937188,0.929874,0.900527,0.870993,0.832839,0.809753,0.824473
L2,0.871959,0.975630,1.000000,0.997169,0.989538,0.983613,0.976367,0.971074,0.942002,0.910125,0.878659,0.861208,0.857640
L3,0.853035,0.964156,0.997169,1.000000,0.996138,0.991100,0.985150,0.979985,0.952849,0.922126,0.892097,0.875626,0.856266
L4,0.840165,0.953548,0.989538,0.996138,1.000000,0.997235,0.993092,0.989059,0.965998,0.938230,0.909382,0.890874,0.852644
L5,0.833703,0.945914,0.983613,0.991100,0.997235,1.000000,0.998001,0.994929,0.975688,0.949246,0.919899,0.899100,0.853519
L6,0.824758,0.937188,0.976367,0.985150,0.993092,0.998001,1.000000,0.997835,0.982451,0.957083,0.927875,0.906453,0.850288
L7,0.817207,0.929874,0.971074,0.979985,0.989059,0.994929,0.997835,1.000000,0.987378,0.963880,0.935893,0.914003,0.853920
L8,0.788503,0.900527,0.942002,0.952849,0.965998,0.975688,0.982451,0.987378,1.000000,0.986189,0.960430,0.932903,0.830554
L9,0.755129,0.870993,0.910125,0.922126,0.938230,0.949246,0.957083,0.963880,0.986189,1.000000,0.982842,0.947480,0.803944
L10,0.707040,0.832839,0.878659,0.892097,0.909382,0.919899,0.927875,0.935893,0.960430,0.982842,1.000000,0.969678,0.783460
L11,0.674314,0.809753,0.861208,0.875626,0.890874,0.899100,0.906453,0.914003,0.932903,0.947480,0.969678,1.000000,0.783164
L12,0.793555,0.824473,0.857640,0.856266,0.852644,0.853519,0.850288,0.853920,0.830554,0.803944,0.783460,0.783164,1.000000
