,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
Emb,1.000000,0.969188,0.947824,0.924438,0.893063,0.820647,0.779335,0.753856,0.616808,0.592697,0.539529,0.395334,0.420024
L1,0.969188,1.000000,0.992860,0.978519,0.951219,0.888375,0.844415,0.813337,0.691494,0.667011,0.607546,0.451161,0.461891
L2,0.947824,0.992860,1.000000,0.994678,0.976171,0.925326,0.885806,0.858360,0.742590,0.719415,0.663085,0.505914,0.499867
L3,0.924438,0.978519,0.994678,1.000000,0.990297,0.949812,0.913562,0.888501,0.773630,0.750095,0.695984,0.540314,0.524122
L4,0.893063,0.951219,0.976171,0.990297,1.000000,0.979131,0.952958,0.932664,0.830548,0.804139,0.750584,0.594612,0.543719
L5,0.820647,0.888375,0.925326,0.949812,0.979131,1.000000,0.991084,0.979639,0.903350,0.873893,0.823266,0.674064,0.578824
L6,0.779335,0.844415,0.885806,0.913562,0.952958,0.991084,1.000000,0.993350,0.934468,0.901935,0.852519,0.706176,0.580374
L7,0.753856,0.813337,0.858360,0.888501,0.932664,0.979639,0.993350,1.000000,0.946339,0.917007,0.871079,0.725459,0.591613
L8,0.616808,0.691494,0.742590,0.773630,0.830548,0.903350,0.934468,0.946339,1.000000,0.982689,0.938725,0.789844,0.566714
L9,0.592697,0.667011,0.719415,0.750095,0.804139,0.873893,0.901935,0.917007,0.982689,1.000000,0.970929,0.812942,0.558107
L10,0.539529,0.607546,0.663085,0.695984,0.750584,0.823266,0.852519,0.871079,0.938725,0.970929,1.000000,0.878715,0.575784
L11,0.395334,0.451161,0.505914,0.540314,0.594612,0.674064,0.706176,0.725459,0.789844,0.812942,0.878715,1.000000,0.676025
L12,0.420024,0.461891,0.499867,0.524122,0.543719,0.578824,0.580374,0.591613,0.566714,0.558107,0.575784,0.676025,1.000000
