,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
Emb,1.000000,0.941361,0.893651,0.862575,0.838563,0.841599,0.838206,0.803690,0.777004,0.740353,0.756201,0.758556,0.887909
L1,0.941361,1.000000,0.988813,0.975528,0.961365,0.962589,0.958162,0.932093,0.901707,0.871912,0.879846,0.870700,0.885457
L2,0.893651,0.988813,1.000000,0.995219,0.985607,0.982811,0.977287,0.951430,0.915542,0.884226,0.891031,0.881430,0.878532
L3,0.862575,0.975528,0.995219,1.000000,0.996533,0.993484,0.989028,0.966426,0.931946,0.904226,0.910894,0.901375,0.851952
L4,0.838563,0.961365,0.985607,0.996533,1.000000,0.997186,0.993656,0.974420,0.941666,0.917013,0.921425,0.910028,0.826828
L5,0.841599,0.962589,0.982811,0.993484,0.997186,1.000000,0.998411,0.982676,0.956413,0.934827,0.940325,0.930159,0.823444
L6,0.838206,0.958162,0.977287,0.989028,0.993656,0.998411,1.000000,0.988400,0.964348,0.942684,0.948036,0.936643,0.814659
L7,0.803690,0.932093,0.951430,0.966426,0.974420,0.982676,0.988400,1.000000,0.988080,0.971456,0.967259,0.945779,0.761168
L8,0.777004,0.901707,0.915542,0.931946,0.941666,0.956413,0.964348,0.988080,1.000000,0.992968,0.986039,0.961607,0.720444
L9,0.740353,0.871912,0.884226,0.904226,0.917013,0.934827,0.942684,0.971456,0.992968,1.000000,0.992654,0.966823,0.676206
L10,0.756201,0.879846,0.891031,0.910894,0.921425,0.940325,0.948036,0.967259,0.986039,0.992654,1.000000,0.986602,0.708346
L11,0.758556,0.870700,0.881430,0.901375,0.910028,0.930159,0.936643,0.945779,0.961607,0.966823,0.986602,1.000000,0.721720
L12,0.887909,0.885457,0.878532,0.851952,0.826828,0.823444,0.814659,0.761168,0.720444,0.676206,0.708346,0.721720,1.000000
