,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.309758,0.273414,0.265984,0.275714,0.257579,0.278517,0.262346,0.286831,0.218785,0.020563,0.010182,0.004355,0.034632
L1,0.296026,0.999270,0.978251,0.964563,0.941256,0.904574,0.849223,0.834603,0.809714,0.746994,0.284750,0.350572,0.423153,0.554182
L2,0.257009,0.969988,0.999189,0.993814,0.973504,0.939278,0.880149,0.869910,0.837739,0.777004,0.304733,0.378697,0.452378,0.587956
L3,0.253901,0.955244,0.991802,0.999230,0.986837,0.959633,0.904401,0.894285,0.861014,0.799750,0.298851,0.371220,0.442212,0.603557
L4,0.263822,0.930420,0.969776,0.984943,0.999029,0.984399,0.938830,0.928355,0.896858,0.833395,0.302028,0.372273,0.438530,0.622493
L5,0.245731,0.889346,0.930288,0.952587,0.979585,0.998404,0.972075,0.962986,0.932211,0.864907,0.302763,0.367886,0.426755,0.630269
L6,0.262903,0.822171,0.858862,0.884693,0.921568,0.960066,0.996146,0.983505,0.954237,0.871884,0.283252,0.341395,0.395457,0.597502
L7,0.250032,0.812375,0.853078,0.878970,0.915113,0.954339,0.985673,0.994991,0.970156,0.901255,0.301501,0.365823,0.427796,0.625467
L8,0.278473,0.797939,0.832461,0.857109,0.894850,0.933732,0.965543,0.978552,0.989587,0.927753,0.309829,0.372522,0.429990,0.633091
L9,0.212014,0.759903,0.798214,0.823263,0.858863,0.892434,0.905269,0.934201,0.953043,0.967969,0.371132,0.446317,0.506211,0.702755
L10,0.015306,0.275038,0.295551,0.287959,0.291562,0.296894,0.280281,0.297985,0.310378,0.352314,0.994124,0.934027,0.688627,0.258541
L11,0.008644,0.341363,0.368578,0.360037,0.362209,0.364640,0.342296,0.365928,0.377886,0.427461,0.926333,0.994936,0.857662,0.356039
L12,0.004426,0.415705,0.442927,0.433111,0.432141,0.429123,0.402603,0.434616,0.442794,0.494484,0.689574,0.874189,0.989627,0.492187
L12+LN,0.033818,0.541955,0.576392,0.592829,0.612845,0.623732,0.599886,0.626505,0.630060,0.673459,0.259665,0.356542,0.486334,0.935064
