dataset,stage,layer,cka_to_pretrained_same_layer
BOOM,stage1_ft_early,Emb,0.9999999622082595
BOOM,stage1_ft_early,L1,0.9992704146335698
BOOM,stage1_ft_early,L2,0.9991894608987015
BOOM,stage1_ft_early,L3,0.9992300085442591
BOOM,stage1_ft_early,L4,0.9990294490065875
BOOM,stage1_ft_early,L5,0.9984039435138855
BOOM,stage1_ft_early,L6,0.9961457051963453
BOOM,stage1_ft_early,L7,0.994990642347511
BOOM,stage1_ft_early,L8,0.9895874918315802
BOOM,stage1_ft_early,L9,0.9679685740408249
BOOM,stage1_ft_early,L10,0.9941239784470204
BOOM,stage1_ft_early,L11,0.9949359923863631
BOOM,stage1_ft_early,L12,0.989626733923019
BOOM,stage1_ft_early,L12+LN,0.9350636498561861
BOOM,stage2_ft_late,Emb,0.9999999409071243
BOOM,stage2_ft_late,L1,0.9984432473951548
BOOM,stage2_ft_late,L2,0.998367174335742
BOOM,stage2_ft_late,L3,0.9984036679285975
BOOM,stage2_ft_late,L4,0.9979716277335555
BOOM,stage2_ft_late,L5,0.9966273395134789
BOOM,stage2_ft_late,L6,0.9916692883828893
BOOM,stage2_ft_late,L7,0.9894139184306331
BOOM,stage2_ft_late,L8,0.9804313764734545
BOOM,stage2_ft_late,L9,0.9498950969963457
BOOM,stage2_ft_late,L10,0.9928399024383489
BOOM,stage2_ft_late,L11,0.9917793164603744
BOOM,stage2_ft_late,L12,0.9820558732060007
BOOM,stage2_ft_late,L12+LN,0.9076553914009836
