dataset,stage,layer,cka_to_pretrained_same_layer
Coastal-TS,stage1_ft_early,Emb,0.9999999622864821
Coastal-TS,stage1_ft_early,L1,0.999624513417151
Coastal-TS,stage1_ft_early,L2,0.99958710901602
Coastal-TS,stage1_ft_early,L3,0.9996253321473662
Coastal-TS,stage1_ft_early,L4,0.9996064500140517
Coastal-TS,stage1_ft_early,L5,0.9993546176658663
Coastal-TS,stage1_ft_early,L6,0.9986824670856331
Coastal-TS,stage1_ft_early,L7,0.9983411873196176
Coastal-TS,stage1_ft_early,L8,0.9972538557875554
Coastal-TS,stage1_ft_early,L9,0.992424984172145
Coastal-TS,stage1_ft_early,L10,0.9892573643958463
Coastal-TS,stage1_ft_early,L11,0.9901240232150307
Coastal-TS,stage1_ft_early,L12,0.9862017993436004
Coastal-TS,stage1_ft_early,L12+LN,0.982478140046359
Coastal-TS,stage2_ft_late,Emb,0.9999999409266066
Coastal-TS,stage2_ft_late,L1,0.9991571108381933
Coastal-TS,stage2_ft_late,L2,0.9990590179790938
Coastal-TS,stage2_ft_late,L3,0.9991192902747652
Coastal-TS,stage2_ft_late,L4,0.9990456657958947
Coastal-TS,stage2_ft_late,L5,0.9985442578022812
Coastal-TS,stage2_ft_late,L6,0.9967599373216176
Coastal-TS,stage2_ft_late,L7,0.9959223894176921
Coastal-TS,stage2_ft_late,L8,0.9938685113769107
Coastal-TS,stage2_ft_late,L9,0.9861596002578776
Coastal-TS,stage2_ft_late,L10,0.9814308955901039
Coastal-TS,stage2_ft_late,L11,0.9827732950049659
Coastal-TS,stage2_ft_late,L12,0.9750278375605592
Coastal-TS,stage2_ft_late,L12+LN,0.9695757206218651
