,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.203083,0.207245,0.208700,0.205686,0.187821,0.198226,0.194113,0.219397,0.195273,0.182390,0.099933,0.029356,0.062662
L1,0.203083,1.000000,0.988170,0.975683,0.952259,0.922612,0.894169,0.882642,0.867553,0.842801,0.823221,0.812009,0.744172,0.692996
L2,0.207245,0.988170,1.000000,0.994788,0.978071,0.952810,0.924173,0.914126,0.899772,0.879165,0.863998,0.854158,0.792624,0.734403
L3,0.208700,0.975683,0.994788,1.000000,0.990613,0.971857,0.945067,0.936261,0.921545,0.902464,0.888590,0.878474,0.821648,0.764532
L4,0.205686,0.952259,0.978071,0.990613,1.000000,0.990734,0.969495,0.961787,0.947209,0.928537,0.911980,0.894282,0.840121,0.793201
L5,0.187821,0.922612,0.952810,0.971857,0.990734,1.000000,0.987785,0.982490,0.968941,0.951437,0.930875,0.901554,0.849390,0.815360
L6,0.198226,0.894169,0.924173,0.945067,0.969495,0.987785,1.000000,0.995728,0.983670,0.961108,0.932261,0.886632,0.825401,0.803952
L7,0.194113,0.882642,0.914126,0.936261,0.961787,0.982490,0.995728,1.000000,0.989929,0.970940,0.940326,0.888354,0.827999,0.810817
L8,0.219397,0.867553,0.899772,0.921545,0.947209,0.968941,0.983670,0.989929,1.000000,0.984221,0.950579,0.886011,0.818847,0.811947
L9,0.195273,0.842801,0.879165,0.902464,0.928537,0.951437,0.961108,0.970940,0.984221,1.000000,0.976930,0.909433,0.838581,0.849796
L10,0.182390,0.823221,0.863998,0.888590,0.911980,0.930875,0.932261,0.940326,0.950579,0.976930,1.000000,0.958083,0.880456,0.890103
L11,0.099933,0.812009,0.854158,0.878474,0.894282,0.901554,0.886632,0.888354,0.886011,0.909433,0.958083,1.000000,0.934539,0.893800
L12,0.029356,0.744172,0.792624,0.821648,0.840121,0.849390,0.825401,0.827999,0.818847,0.838581,0.880456,0.934539,1.000000,0.878886
L12+LN,0.062662,0.692996,0.734403,0.764532,0.793201,0.815360,0.803952,0.810817,0.811947,0.849796,0.890103,0.893800,0.878886,1.000000
