,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.604995,0.598985,0.597180,0.555001,0.426060,0.388002,0.282728,0.287093,0.269344,0.263330,0.189472,0.139601,0.116255
L1,0.600845,0.999692,0.986997,0.913912,0.773009,0.591460,0.541908,0.440979,0.445573,0.360401,0.340721,0.280895,0.216728,0.128008
L2,0.592649,0.982755,0.999576,0.938129,0.799699,0.622132,0.569629,0.468473,0.473125,0.386311,0.366271,0.308481,0.249685,0.155638
L3,0.591681,0.908891,0.935520,0.999709,0.950696,0.844102,0.803888,0.724517,0.725019,0.651955,0.635133,0.578448,0.496215,0.429975
L4,0.553192,0.771847,0.800449,0.950675,0.999692,0.956501,0.929500,0.870887,0.868336,0.815556,0.798342,0.736592,0.634963,0.598049
L5,0.421732,0.585030,0.616782,0.839326,0.955996,0.999688,0.992044,0.968052,0.963801,0.922342,0.910556,0.866824,0.760875,0.752052
L6,0.381508,0.533963,0.562907,0.797090,0.927519,0.990551,0.999481,0.981492,0.977419,0.932977,0.919201,0.877898,0.769230,0.763739
L7,0.277620,0.435765,0.464271,0.719494,0.871288,0.966879,0.981854,0.999509,0.995662,0.960358,0.950768,0.922922,0.816149,0.816742
L8,0.281642,0.439702,0.468385,0.720203,0.869052,0.963303,0.978419,0.996631,0.999051,0.961541,0.952959,0.925246,0.819667,0.817062
L9,0.254459,0.352357,0.378891,0.645067,0.814610,0.921401,0.935152,0.964908,0.965403,0.997551,0.988799,0.946794,0.838472,0.854729
L10,0.244454,0.326358,0.352514,0.622762,0.793637,0.906902,0.919078,0.954056,0.954822,0.988208,0.997678,0.973837,0.877133,0.895859
L11,0.182311,0.271529,0.298344,0.568068,0.733775,0.861632,0.875363,0.922091,0.921932,0.941413,0.968950,0.997579,0.929314,0.933824
L12,0.142318,0.213964,0.244374,0.494206,0.643723,0.767605,0.778539,0.826462,0.827089,0.846076,0.884024,0.939654,0.994008,0.902527
L12+LN,0.115922,0.125854,0.152022,0.423561,0.598761,0.745894,0.759432,0.812725,0.809573,0.848075,0.886260,0.925587,0.886068,0.998647
