,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.607354,0.602460,0.599962,0.557388,0.430674,0.392509,0.286283,0.291920,0.267712,0.260710,0.183042,0.130378,0.110805
L1,0.600880,0.999286,0.988436,0.917249,0.778913,0.599328,0.550427,0.447660,0.454792,0.367413,0.346653,0.281681,0.213358,0.125720
L2,0.592681,0.981242,0.999045,0.939800,0.804631,0.629518,0.577666,0.474815,0.481813,0.393069,0.372049,0.309592,0.246893,0.153561
L3,0.591707,0.907488,0.935004,0.999318,0.953156,0.848973,0.809621,0.729040,0.731126,0.657316,0.639474,0.578559,0.492079,0.429117
L4,0.553208,0.770411,0.799971,0.948912,0.999366,0.958709,0.932727,0.873564,0.871884,0.818870,0.800718,0.735579,0.629635,0.597517
L5,0.421740,0.583604,0.616249,0.836308,0.954082,0.999334,0.992581,0.968652,0.964481,0.924802,0.912241,0.865925,0.756165,0.753688
L6,0.381515,0.532609,0.562623,0.794063,0.925490,0.989723,0.998895,0.981256,0.977183,0.935324,0.920941,0.877347,0.765186,0.766216
L7,0.277626,0.434344,0.463913,0.716256,0.869196,0.965642,0.981281,0.999097,0.994906,0.963220,0.953067,0.923588,0.813384,0.820771
L8,0.281647,0.438311,0.468029,0.717046,0.867139,0.962266,0.978058,0.996405,0.998401,0.964537,0.955462,0.926131,0.816935,0.821105
L9,0.254460,0.351221,0.378619,0.641682,0.811798,0.919571,0.934539,0.964351,0.964116,0.997011,0.988368,0.945551,0.833222,0.856848
L10,0.244455,0.325434,0.352360,0.619360,0.790833,0.904844,0.918378,0.953409,0.953259,0.987818,0.997039,0.971997,0.870852,0.897350
L11,0.182313,0.270773,0.298171,0.564598,0.731110,0.859083,0.874150,0.921057,0.919691,0.942318,0.969408,0.995976,0.923377,0.936006
L12,0.142319,0.213505,0.244101,0.490947,0.641453,0.765314,0.777424,0.825427,0.824731,0.846761,0.884892,0.940291,0.988600,0.903227
L12+LN,0.115921,0.125745,0.152013,0.419873,0.595400,0.741971,0.756835,0.810189,0.805191,0.846523,0.883660,0.920741,0.876266,0.997720
