dataset,stage,layer,cka_to_pretrained_same_layer
Electricity,stage1_ft_early,Emb,0.999999962208875
Electricity,stage1_ft_early,L1,0.999691930193452
Electricity,stage1_ft_early,L2,0.9995764263284499
Electricity,stage1_ft_early,L3,0.9997092631490421
Electricity,stage1_ft_early,L4,0.9996918471689402
Electricity,stage1_ft_early,L5,0.9996882033597351
Electricity,stage1_ft_early,L6,0.9994813264809937
Electricity,stage1_ft_early,L7,0.9995094518949339
Electricity,stage1_ft_early,L8,0.9990509836841628
Electricity,stage1_ft_early,L9,0.9975510611143691
Electricity,stage1_ft_early,L10,0.9976780481017573
Electricity,stage1_ft_early,L11,0.9975790006891095
Electricity,stage1_ft_early,L12,0.9940081501153367
Electricity,stage1_ft_early,L12+LN,0.9986470524191625
Electricity,stage2_ft_late,Emb,0.9999999409070969
Electricity,stage2_ft_late,L1,0.99928602756592
Electricity,stage2_ft_late,L2,0.9990445463096155
Electricity,stage2_ft_late,L3,0.9993181740892815
Electricity,stage2_ft_late,L4,0.9993663587451402
Electricity,stage2_ft_late,L5,0.999333800234099
Electricity,stage2_ft_late,L6,0.9988945013929081
Electricity,stage2_ft_late,L7,0.9990971806144102
Electricity,stage2_ft_late,L8,0.9984008418521993
Electricity,stage2_ft_late,L9,0.997010561562462
Electricity,stage2_ft_late,L10,0.9970390084802417
Electricity,stage2_ft_late,L11,0.9959755202090761
Electricity,stage2_ft_late,L12,0.9886001719559778
Electricity,stage2_ft_late,L12+LN,0.9977199656504888
