,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.605134,0.599116,0.597278,0.555056,0.426086,0.388021,0.282739,0.287104,0.269336,0.263323,0.189468,0.139592,0.116237
L1,0.605134,1.000000,0.985941,0.913127,0.771904,0.590026,0.540545,0.439415,0.444005,0.359112,0.339679,0.280033,0.216585,0.127561
L2,0.599116,0.985941,1.000000,0.937879,0.798959,0.620641,0.568516,0.467068,0.471753,0.384901,0.364914,0.306692,0.247719,0.153416
L3,0.597278,0.913127,0.937879,1.000000,0.950023,0.841747,0.801479,0.721578,0.722164,0.649292,0.632221,0.574581,0.492535,0.425228
L4,0.555056,0.771904,0.798959,0.950023,1.000000,0.957714,0.931315,0.873425,0.870948,0.818325,0.801258,0.739431,0.638197,0.600662
L5,0.426086,0.590026,0.620641,0.841747,0.957714,1.000000,0.992249,0.967945,0.963909,0.922391,0.910154,0.865060,0.759227,0.748471
L6,0.388021,0.540545,0.568516,0.801479,0.931315,0.992249,1.000000,0.982150,0.978332,0.934933,0.921051,0.878184,0.769643,0.762224
L7,0.282739,0.439415,0.467068,0.721578,0.873425,0.967945,0.982150,1.000000,0.996544,0.962447,0.952923,0.923964,0.817147,0.816093
L8,0.287104,0.444005,0.471753,0.722164,0.870948,0.963909,0.978332,0.996544,1.000000,0.963574,0.954274,0.924309,0.818121,0.813001
L9,0.269336,0.359112,0.384901,0.649292,0.818325,0.922391,0.934933,0.962447,0.963574,1.000000,0.990944,0.945796,0.835977,0.851349
L10,0.263323,0.339679,0.364914,0.632221,0.801258,0.910154,0.921051,0.952923,0.954274,0.990944,1.000000,0.972797,0.874223,0.889780
L11,0.189468,0.280033,0.306692,0.574581,0.739431,0.865060,0.878184,0.923964,0.924309,0.945796,0.972797,1.000000,0.932855,0.929634
L12,0.139592,0.216585,0.247719,0.492535,0.638197,0.759227,0.769643,0.817147,0.818121,0.835977,0.874223,0.932855,1.000000,0.889010
L12+LN,0.116237,0.127561,0.153416,0.425228,0.600662,0.748471,0.762224,0.816093,0.813001,0.851349,0.889780,0.929634,0.889010,1.000000
