,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.607527,0.602625,0.600086,0.557462,0.430709,0.392537,0.286301,0.291940,0.267707,0.260707,0.183041,0.130370,0.110784
L1,0.607527,1.000000,0.986631,0.915633,0.776769,0.596678,0.547897,0.444799,0.451946,0.365024,0.344718,0.280084,0.212691,0.125141
L2,0.602625,0.986631,1.000000,0.939829,0.804000,0.627841,0.576588,0.473278,0.480354,0.391548,0.370695,0.307641,0.244517,0.151332
L3,0.600086,0.915633,0.939829,1.000000,0.951306,0.844064,0.804633,0.723185,0.725511,0.651469,0.633379,0.571383,0.485224,0.420622
L4,0.557462,0.776769,0.804000,0.951306,1.000000,0.958531,0.933021,0.874361,0.872990,0.819082,0.801106,0.736018,0.630840,0.596868
L5,0.430709,0.596678,0.627841,0.844064,0.958531,1.000000,0.992696,0.967838,0.964179,0.923385,0.910174,0.862014,0.752547,0.746212
L6,0.392537,0.547897,0.576588,0.804633,0.933021,0.992696,1.000000,0.982193,0.978673,0.937160,0.922566,0.876879,0.764731,0.762100
L7,0.286301,0.444799,0.473278,0.723185,0.874361,0.967838,0.982193,1.000000,0.996478,0.965318,0.955112,0.924095,0.813659,0.817596
L8,0.291940,0.451946,0.480354,0.725511,0.872990,0.964179,0.978673,0.996478,1.000000,0.966132,0.956052,0.923699,0.813543,0.812704
L9,0.267707,0.365024,0.391548,0.651469,0.819082,0.923385,0.937160,0.965318,0.966132,1.000000,0.991088,0.946215,0.832052,0.852061
L10,0.260707,0.344718,0.370695,0.633379,0.801106,0.910174,0.922566,0.955112,0.956052,0.991088,1.000000,0.972684,0.870167,0.888936
L11,0.183041,0.280084,0.307641,0.571383,0.736018,0.862014,0.876879,0.924095,0.923699,0.946215,0.972684,1.000000,0.931936,0.927742
L12,0.130370,0.212691,0.244517,0.485224,0.630840,0.752547,0.764731,0.813659,0.813543,0.832052,0.870167,0.931936,1.000000,0.881511
L12+LN,0.110784,0.125141,0.151332,0.420622,0.596868,0.746212,0.762100,0.817596,0.812704,0.852061,0.888936,0.927742,0.881511,1.000000
