,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.554152,0.560134,0.472494,0.333871,0.179109,0.156892,0.105596,0.116074,0.076254,0.071331,0.048955,0.030836,0.032149
L1,0.550798,0.999777,0.973665,0.849857,0.630914,0.417402,0.389077,0.314893,0.320755,0.260959,0.243813,0.209250,0.174878,0.140604
L2,0.555710,0.966095,0.999578,0.913206,0.724694,0.511065,0.478318,0.395818,0.404211,0.332673,0.313802,0.275380,0.237534,0.180255
L3,0.466112,0.839638,0.907287,0.999597,0.933272,0.797843,0.773321,0.698171,0.699569,0.636052,0.616704,0.581311,0.546684,0.481454
L4,0.328357,0.622397,0.718938,0.928685,0.999188,0.940339,0.923292,0.861124,0.861090,0.804482,0.785631,0.753039,0.720815,0.639590
L5,0.171385,0.406032,0.498718,0.788818,0.938795,0.999617,0.995615,0.976719,0.974233,0.946099,0.934740,0.912535,0.886731,0.808903
L6,0.149374,0.377786,0.465632,0.764598,0.922371,0.995521,0.999630,0.983023,0.979667,0.953218,0.941685,0.920054,0.895033,0.818265
L7,0.100962,0.306989,0.386681,0.691319,0.861342,0.974402,0.980887,0.999607,0.997204,0.987533,0.979677,0.962613,0.935255,0.857187
L8,0.111014,0.312229,0.394273,0.691940,0.859853,0.971294,0.977023,0.996813,0.999383,0.987884,0.980732,0.962785,0.933831,0.852700
L9,0.072549,0.254655,0.325707,0.630694,0.806607,0.943499,0.950689,0.987030,0.987432,0.999023,0.995835,0.984570,0.960082,0.896482
L10,0.067918,0.236637,0.305078,0.609815,0.786165,0.930546,0.937809,0.977831,0.978658,0.995120,0.999097,0.992315,0.971815,0.913277
L11,0.047378,0.204745,0.269338,0.575649,0.754509,0.907924,0.915597,0.960228,0.960237,0.983258,0.991562,0.998833,0.986710,0.930807
L12,0.030522,0.172995,0.235721,0.545209,0.727748,0.885162,0.893101,0.934200,0.932392,0.958343,0.969484,0.984541,0.998034,0.936977
L12+LN,0.031776,0.139227,0.178556,0.481160,0.648614,0.806899,0.814710,0.855599,0.849619,0.895786,0.910368,0.929161,0.941368,0.998706
