,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.547591,0.550430,0.533056,0.437549,0.276434,0.257634,0.186965,0.203839,0.122718,0.110099,0.070088,0.038369,0.035392
L1,0.542596,0.999858,0.990369,0.940191,0.788235,0.562904,0.504661,0.424663,0.434488,0.347390,0.327422,0.277526,0.224390,0.215028
L2,0.547378,0.989210,0.999822,0.959830,0.815598,0.590782,0.531977,0.449603,0.459958,0.369338,0.349422,0.299024,0.250427,0.226045
L3,0.530569,0.938236,0.958255,0.999796,0.936728,0.775080,0.725896,0.655621,0.663552,0.582101,0.562059,0.512926,0.457341,0.429521
L4,0.436837,0.788104,0.816042,0.938846,0.999733,0.937371,0.905951,0.860291,0.865068,0.805262,0.789882,0.749243,0.695002,0.669378
L5,0.270895,0.555431,0.583868,0.772428,0.937421,0.999769,0.992371,0.980725,0.980579,0.953244,0.943470,0.916685,0.866109,0.849203
L6,0.254876,0.496057,0.523808,0.721873,0.904750,0.990805,0.999617,0.990023,0.988541,0.963199,0.952930,0.927259,0.877123,0.863456
L7,0.188520,0.423161,0.448856,0.658468,0.864123,0.979768,0.990322,0.999623,0.997462,0.986700,0.978910,0.958319,0.910122,0.900210
L8,0.204413,0.433979,0.459805,0.666755,0.869072,0.979864,0.989042,0.997558,0.999378,0.986723,0.979815,0.958842,0.911468,0.900471
L9,0.121574,0.346887,0.369710,0.586247,0.810636,0.952424,0.963514,0.988103,0.987926,0.998875,0.995290,0.981871,0.937275,0.933240
L10,0.106537,0.323948,0.346528,0.563341,0.793045,0.940874,0.951571,0.979376,0.979858,0.994536,0.998946,0.991764,0.955944,0.949426
L11,0.067556,0.274424,0.296290,0.514429,0.752974,0.913876,0.925951,0.959275,0.959133,0.981027,0.991344,0.998916,0.975258,0.963746
L12,0.038466,0.221278,0.246529,0.458642,0.698893,0.864276,0.877127,0.912948,0.913523,0.938844,0.957422,0.977130,0.998183,0.952084
L12+LN,0.034838,0.213700,0.225548,0.432911,0.674435,0.845186,0.860267,0.899921,0.898713,0.930823,0.946368,0.960672,0.948247,0.999510
