,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.542472,0.547255,0.530463,0.436763,0.270860,0.254852,0.188505,0.204397,0.121568,0.106530,0.067555,0.038470,0.034840
L1,0.542472,1.000000,0.989482,0.939355,0.789927,0.557995,0.498570,0.425862,0.436496,0.349622,0.326430,0.276640,0.222757,0.215210
L2,0.547255,0.989482,1.000000,0.959471,0.818047,0.586032,0.525834,0.450860,0.461762,0.371363,0.348043,0.297581,0.247707,0.226145
L3,0.530463,0.939355,0.959471,1.000000,0.938526,0.771431,0.720726,0.657060,0.665280,0.584245,0.561043,0.511798,0.455616,0.429471
L4,0.436763,0.789927,0.818047,0.938526,1.000000,0.935489,0.902395,0.861047,0.866038,0.806507,0.788578,0.748043,0.693846,0.668672
L5,0.270860,0.557995,0.586032,0.771431,0.935489,1.000000,0.991220,0.980860,0.980899,0.953882,0.942422,0.915681,0.866335,0.847861
L6,0.254852,0.498570,0.525834,0.720726,0.902395,0.991220,1.000000,0.990786,0.989306,0.963674,0.951709,0.926221,0.877779,0.861987
L7,0.188505,0.425862,0.450860,0.657060,0.861047,0.980860,0.990786,1.000000,0.997905,0.987448,0.978451,0.957912,0.911437,0.898783
L8,0.204397,0.436496,0.461762,0.665280,0.866038,0.980899,0.989306,0.997905,1.000000,0.987727,0.979606,0.958646,0.912876,0.899205
L9,0.121568,0.349622,0.371363,0.584245,0.806507,0.953882,0.963674,0.987448,0.987727,1.000000,0.995742,0.982052,0.939299,0.931957
L10,0.106530,0.326430,0.348043,0.561043,0.788578,0.942422,0.951709,0.978451,0.979606,0.995742,1.000000,0.992544,0.958406,0.948429
L11,0.067555,0.276640,0.297581,0.511798,0.748043,0.915681,0.926221,0.957912,0.958646,0.982052,0.992544,1.000000,0.977984,0.963137
L12,0.038470,0.222757,0.247707,0.455616,0.693846,0.866335,0.877779,0.911437,0.912876,0.939299,0.958406,0.977984,1.000000,0.951826
L12+LN,0.034840,0.215210,0.226145,0.429471,0.668672,0.847861,0.861987,0.898783,0.899205,0.931957,0.948429,0.963137,0.951826,1.000000
