dataset,stage,layer,cka_to_pretrained_same_layer
Uber,stage1_ft_early,Emb,0.999999962208875
Uber,stage1_ft_early,L1,0.999638668419254
Uber,stage1_ft_early,L2,0.9996368425732618
Uber,stage1_ft_early,L3,0.999713149500346
Uber,stage1_ft_early,L4,0.9996046315899801
Uber,stage1_ft_early,L5,0.9993173090936252
Uber,stage1_ft_early,L6,0.9989294793267088
Uber,stage1_ft_early,L7,0.9970175501914171
Uber,stage1_ft_early,L8,0.9968202271540619
Uber,stage1_ft_early,L9,0.9956033141735174
Uber,stage1_ft_early,L10,0.9958487110774008
Uber,stage1_ft_early,L11,0.9969394070193239
Uber,stage1_ft_early,L12,0.9953747607332458
Uber,stage1_ft_early,L12+LN,0.9969167067242267
Uber,stage2_ft_late,Emb,0.9999999409070969
Uber,stage2_ft_late,L1,0.9991601853796802
Uber,stage2_ft_late,L2,0.9991879476029285
Uber,stage2_ft_late,L3,0.9993296102926187
Uber,stage2_ft_late,L4,0.999163693019019
Uber,stage2_ft_late,L5,0.9986462106567818
Uber,stage2_ft_late,L6,0.9977164317831791
Uber,stage2_ft_late,L7,0.9936154757695109
Uber,stage2_ft_late,L8,0.9941185587074916
Uber,stage2_ft_late,L9,0.9921427684346096
Uber,stage2_ft_late,L10,0.9955804993563716
Uber,stage2_ft_late,L11,0.9953815478482593
Uber,stage2_ft_late,L12,0.9936818597727399
Uber,stage2_ft_late,L12+LN,0.9939292878480575
