,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.347821,0.319872,0.335385,0.365978,0.365058,0.379987,0.429023,0.437952,0.424181,0.179642,0.071588,0.024958,0.229137
L1,0.347821,1.000000,0.975575,0.947745,0.861454,0.695270,0.580071,0.470068,0.482312,0.441431,0.388497,0.387338,0.441483,0.316844
L2,0.319872,0.975575,1.000000,0.983577,0.900040,0.728856,0.608337,0.492731,0.503444,0.456522,0.422227,0.430717,0.492642,0.349608
L3,0.335385,0.947745,0.983577,1.000000,0.956677,0.822700,0.714574,0.589202,0.604200,0.561666,0.460672,0.436273,0.484493,0.452615
L4,0.365978,0.861454,0.900040,0.956677,1.000000,0.938082,0.857766,0.724090,0.748670,0.718038,0.512990,0.431789,0.445673,0.599631
L5,0.365058,0.695270,0.728856,0.822700,0.938082,1.000000,0.969722,0.837842,0.870861,0.860965,0.551344,0.415785,0.396799,0.756767
L6,0.379987,0.580071,0.608337,0.714574,0.857766,0.969722,1.000000,0.896347,0.924991,0.916207,0.541168,0.372852,0.335545,0.786668
L7,0.429023,0.470068,0.492731,0.589202,0.724090,0.837842,0.896347,1.000000,0.989819,0.946382,0.526922,0.329831,0.289579,0.705431
L8,0.437952,0.482312,0.503444,0.604200,0.748670,0.870861,0.924991,0.989819,1.000000,0.970854,0.543489,0.341843,0.295107,0.745063
L9,0.424181,0.441431,0.456522,0.561666,0.718038,0.860965,0.916207,0.946382,0.970854,1.000000,0.551993,0.341744,0.286601,0.801729
L10,0.179642,0.388497,0.422227,0.460672,0.512990,0.551344,0.541168,0.526922,0.543489,0.551993,1.000000,0.909867,0.727113,0.448167
L11,0.071588,0.387338,0.430717,0.436273,0.431789,0.415785,0.372852,0.329831,0.341843,0.341744,0.909867,1.000000,0.911695,0.296758
L12,0.024958,0.441483,0.492642,0.484493,0.445673,0.396799,0.335545,0.289579,0.295107,0.286601,0.727113,0.911695,1.000000,0.245956
L12+LN,0.229137,0.316844,0.349608,0.452615,0.599631,0.756767,0.786668,0.705431,0.745063,0.801729,0.448167,0.296758,0.245956,1.000000
