,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.245280,0.197792,0.207188,0.212028,0.190948,0.165858,0.152705,0.155028,0.112648,0.012955,0.004352,0.000692,0.012576
L1,0.233870,0.999461,0.980509,0.967981,0.931686,0.850904,0.684454,0.669895,0.642164,0.581344,0.413018,0.481494,0.534495,0.345660
L2,0.186833,0.974010,0.999575,0.992819,0.962259,0.883668,0.712566,0.701685,0.671871,0.613726,0.447340,0.528179,0.590102,0.369230
L3,0.198974,0.960695,0.991436,0.999576,0.982914,0.921636,0.762669,0.754149,0.723116,0.666548,0.438248,0.514042,0.575667,0.410565
L4,0.202441,0.921940,0.958160,0.979620,0.999173,0.968667,0.838424,0.833566,0.804539,0.751910,0.445805,0.513656,0.569909,0.473010
L5,0.181032,0.831233,0.868226,0.907112,0.958208,0.998288,0.930479,0.928979,0.900777,0.848745,0.424775,0.475233,0.520015,0.538657
L6,0.150414,0.643043,0.673093,0.721635,0.795495,0.890905,0.996497,0.983259,0.960784,0.880830,0.345623,0.374928,0.414791,0.535002
L7,0.140633,0.634778,0.668328,0.719201,0.796685,0.895441,0.988463,0.996600,0.976694,0.918273,0.358178,0.387215,0.425450,0.576926
L8,0.143125,0.612593,0.644171,0.693438,0.771337,0.869637,0.966668,0.976946,0.995221,0.945228,0.358570,0.384099,0.418601,0.570700
L9,0.103404,0.564453,0.599076,0.650063,0.732195,0.830717,0.899438,0.931981,0.960209,0.991012,0.368764,0.389107,0.416495,0.661420
L10,0.009211,0.405291,0.438435,0.426897,0.434197,0.419260,0.351078,0.360470,0.365140,0.365297,0.996209,0.937850,0.777834,0.220655
L11,0.003288,0.474865,0.518670,0.503270,0.503969,0.475307,0.388062,0.397643,0.399536,0.395094,0.942036,0.996159,0.920502,0.255371
L12,0.000629,0.530703,0.582417,0.567222,0.562048,0.522918,0.431058,0.439191,0.436011,0.422863,0.789432,0.936324,0.993981,0.299797
L12+LN,0.012233,0.333537,0.355467,0.394510,0.453634,0.517982,0.528643,0.570891,0.563653,0.645695,0.227061,0.255161,0.293397,0.971693
