dataset,stage,layer,cka_to_pretrained_same_layer
WindFarms,stage1_ft_early,Emb,0.999999962208875
WindFarms,stage1_ft_early,L1,0.9994614245976379
WindFarms,stage1_ft_early,L2,0.999574708318334
WindFarms,stage1_ft_early,L3,0.9995759940340304
WindFarms,stage1_ft_early,L4,0.9991725756174487
WindFarms,stage1_ft_early,L5,0.9982875209585078
WindFarms,stage1_ft_early,L6,0.9964971825755575
WindFarms,stage1_ft_early,L7,0.9965998957498874
WindFarms,stage1_ft_early,L8,0.9952205941225959
WindFarms,stage1_ft_early,L9,0.9910115525061307
WindFarms,stage1_ft_early,L10,0.9962086194723626
WindFarms,stage1_ft_early,L11,0.9961588641637306
WindFarms,stage1_ft_early,L12,0.993980501829718
WindFarms,stage1_ft_early,L12+LN,0.9716926061071556
WindFarms,stage2_ft_late,Emb,0.9999999409070969
WindFarms,stage2_ft_late,L1,0.9988435425081093
WindFarms,stage2_ft_late,L2,0.9991031139803775
WindFarms,stage2_ft_late,L3,0.9991440406492399
WindFarms,stage2_ft_late,L4,0.9983172829915835
WindFarms,stage2_ft_late,L5,0.996161244371035
WindFarms,stage2_ft_late,L6,0.9914025925193733
WindFarms,stage2_ft_late,L7,0.9919961013352703
WindFarms,stage2_ft_late,L8,0.9895545004111957
WindFarms,stage2_ft_late,L9,0.9835615724736327
WindFarms,stage2_ft_late,L10,0.995264792516632
WindFarms,stage2_ft_late,L11,0.9935480556814592
WindFarms,stage2_ft_late,L12,0.9900395018956529
WindFarms,stage2_ft_late,L12+LN,0.9538847505835835
