,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.252415,0.203841,0.213470,0.219500,0.199056,0.177535,0.162323,0.164434,0.119109,0.013050,0.004487,0.000680,0.012791
L1,0.252415,1.000000,0.977334,0.964481,0.930280,0.856264,0.706750,0.688145,0.660611,0.594467,0.418592,0.488639,0.538799,0.346931
L2,0.203841,0.977334,1.000000,0.992884,0.963971,0.892131,0.736784,0.722151,0.691792,0.628497,0.453544,0.536137,0.594649,0.370676
L3,0.213470,0.964481,0.992884,1.000000,0.983620,0.927047,0.781889,0.769802,0.737962,0.676944,0.442427,0.520784,0.579950,0.410260
L4,0.219500,0.930280,0.963971,0.983620,1.000000,0.970351,0.847109,0.839365,0.808631,0.752878,0.450449,0.521852,0.575450,0.469250
L5,0.199056,0.856264,0.892131,0.927047,0.970351,1.000000,0.926471,0.923897,0.894382,0.842615,0.440721,0.498135,0.542111,0.534715
L6,0.177535,0.706750,0.736784,0.781889,0.847109,0.926471,1.000000,0.989250,0.964574,0.889469,0.375883,0.414939,0.454727,0.551429
L7,0.162323,0.688145,0.722151,0.769802,0.839365,0.923897,0.989250,1.000000,0.978347,0.925206,0.385591,0.424347,0.462917,0.593237
L8,0.164434,0.660611,0.691792,0.737962,0.808631,0.894382,0.964574,0.978347,1.000000,0.958892,0.394187,0.429983,0.462802,0.584985
L9,0.119109,0.594467,0.628497,0.676944,0.752878,0.842615,0.889469,0.925206,0.958892,1.000000,0.396521,0.426040,0.449850,0.658282
L10,0.013050,0.418592,0.453544,0.442427,0.450449,0.440721,0.375883,0.385591,0.394187,0.396521,1.000000,0.937815,0.778385,0.233621
L11,0.004487,0.488639,0.536137,0.520784,0.521852,0.498135,0.414939,0.424347,0.429983,0.426040,0.937815,1.000000,0.933052,0.268630
L12,0.000680,0.538799,0.594649,0.579950,0.575450,0.542111,0.454727,0.462917,0.462802,0.449850,0.778385,0.933052,1.000000,0.313897
L12+LN,0.012791,0.346931,0.370676,0.410260,0.469250,0.534715,0.551429,0.593237,0.584985,0.658282,0.233621,0.268630,0.313897,1.000000
