,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,0.999895,0.983438,0.847025,0.801169,0.735612,0.633728,0.623226,0.521621,0.155003,0.104795,0.079391,0.064637,0.050684,0.054302
L1,0.987600,0.999258,0.910754,0.872392,0.817881,0.724165,0.714559,0.614513,0.213574,0.158348,0.137594,0.120372,0.108513,0.112900
L2,0.915850,0.969127,0.983630,0.965209,0.932519,0.861463,0.853365,0.765307,0.323400,0.260479,0.246397,0.223264,0.220497,0.224891
L3,0.886435,0.947650,0.982310,0.976900,0.950854,0.890569,0.882871,0.798546,0.346996,0.279831,0.264742,0.238467,0.239973,0.240195
L4,0.817698,0.892051,0.958267,0.963745,0.962647,0.929268,0.924662,0.851304,0.380567,0.307782,0.293917,0.263362,0.269637,0.268481
L5,0.676846,0.763130,0.866440,0.888728,0.912926,0.931614,0.929576,0.874236,0.403772,0.327235,0.315437,0.282156,0.290651,0.286423
L6,0.644744,0.734107,0.844324,0.867845,0.898782,0.925121,0.930984,0.878803,0.407638,0.329099,0.317222,0.282341,0.291180,0.287615
L7,0.550919,0.649090,0.786508,0.816335,0.861322,0.906516,0.913683,0.888022,0.437545,0.359990,0.351698,0.313609,0.320578,0.316447
L8,0.373308,0.478702,0.645599,0.685841,0.741381,0.807235,0.818465,0.820303,0.487212,0.410800,0.401805,0.356857,0.344562,0.342243
L9,0.314205,0.421074,0.599447,0.639895,0.698733,0.767882,0.779399,0.792423,0.499203,0.433450,0.428547,0.380207,0.364067,0.362719
L10,0.210648,0.317505,0.508099,0.548347,0.611011,0.679245,0.686761,0.710417,0.487994,0.445555,0.470735,0.434000,0.418900,0.407707
L11,0.142565,0.245014,0.432824,0.467330,0.524702,0.576898,0.581179,0.605718,0.444832,0.419858,0.458339,0.442405,0.417917,0.405315
L12,0.067866,0.145614,0.299516,0.346720,0.390760,0.436454,0.440468,0.454547,0.283784,0.256378,0.292994,0.268899,0.331523,0.254695
L12+LN,0.162085,0.263954,0.453753,0.480444,0.534958,0.563738,0.565412,0.577709,0.413724,0.400508,0.452612,0.438862,0.424250,0.412924
