,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,0.999225,0.982787,0.854913,0.832157,0.755622,0.659944,0.662619,0.540531,0.138014,0.089377,0.066396,0.047520,0.031716,0.029045
L1,0.986422,0.998038,0.915301,0.897345,0.833770,0.747921,0.748463,0.626496,0.187979,0.136325,0.120531,0.093372,0.070425,0.063784
L2,0.914228,0.967668,0.981301,0.974410,0.937008,0.876053,0.873479,0.764331,0.284344,0.228211,0.217855,0.178290,0.145454,0.134876
L3,0.884751,0.946017,0.977455,0.977447,0.947801,0.896898,0.894637,0.789495,0.302917,0.243106,0.228652,0.187820,0.154348,0.142983
L4,0.815839,0.890572,0.951641,0.960018,0.956198,0.926829,0.924956,0.829860,0.330551,0.266421,0.249057,0.204910,0.167880,0.156527
L5,0.674810,0.761604,0.857079,0.874666,0.897224,0.908861,0.906985,0.830113,0.344127,0.279024,0.262040,0.216478,0.176899,0.164309
L6,0.642621,0.732613,0.834676,0.854253,0.884617,0.903535,0.907496,0.833605,0.346586,0.279752,0.261487,0.215100,0.174152,0.161656
L7,0.548687,0.647632,0.776470,0.800334,0.847108,0.882411,0.884546,0.835114,0.365651,0.300277,0.285761,0.236648,0.192170,0.178248
L8,0.371221,0.477224,0.634552,0.664851,0.725464,0.780878,0.783025,0.763368,0.389495,0.327269,0.313534,0.263558,0.213423,0.196783
L9,0.311969,0.419456,0.588737,0.620199,0.686211,0.745729,0.746742,0.739498,0.397038,0.343053,0.333410,0.280925,0.228243,0.211118
L10,0.208362,0.315696,0.499598,0.529868,0.600188,0.661994,0.657571,0.665381,0.393072,0.362482,0.394743,0.333557,0.276952,0.251862
L11,0.140357,0.243231,0.427085,0.452926,0.517086,0.569099,0.561298,0.572842,0.361423,0.346969,0.407719,0.348291,0.288362,0.256410
L12,0.065900,0.144718,0.294259,0.320486,0.372907,0.420619,0.417131,0.413994,0.227226,0.203969,0.238813,0.192764,0.177568,0.138344
L12+LN,0.159878,0.262436,0.451770,0.473845,0.534329,0.568228,0.558020,0.552015,0.329658,0.323650,0.409003,0.343505,0.287914,0.252675
