dataset,stage,layer,cka_to_pretrained_same_layer
FordA,stage1_cls_early,Emb,0.9998947641230196
FordA,stage1_cls_early,L1,0.9992584187355588
FordA,stage1_cls_early,L2,0.9836299687968335
FordA,stage1_cls_early,L3,0.9769002216092363
FordA,stage1_cls_early,L4,0.9626465440082992
FordA,stage1_cls_early,L5,0.9316141833364225
FordA,stage1_cls_early,L6,0.9309844373175299
FordA,stage1_cls_early,L7,0.888022229851149
FordA,stage1_cls_early,L8,0.48721188818251876
FordA,stage1_cls_early,L9,0.4334501055333423
FordA,stage1_cls_early,L10,0.47073490074555996
FordA,stage1_cls_early,L11,0.4424047370114879
FordA,stage1_cls_early,L12,0.3315225506569358
FordA,stage1_cls_early,L12+LN,0.4129242419524152
FordA,stage2_cls_late,Emb,0.9992247547502736
FordA,stage2_cls_late,L1,0.9980383923124536
FordA,stage2_cls_late,L2,0.9813007586137742
FordA,stage2_cls_late,L3,0.9774468021878459
FordA,stage2_cls_late,L4,0.9561984706610809
FordA,stage2_cls_late,L5,0.9088608354954728
FordA,stage2_cls_late,L6,0.9074962343050655
FordA,stage2_cls_late,L7,0.8351144083244523
FordA,stage2_cls_late,L8,0.38949485090673375
FordA,stage2_cls_late,L9,0.3430534270866702
FordA,stage2_cls_late,L10,0.3947429680689071
FordA,stage2_cls_late,L11,0.3482911181964174
FordA,stage2_cls_late,L12,0.17756801826265464
FordA,stage2_cls_late,L12+LN,0.2526754320589797
