,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.983499,0.846993,0.801111,0.735531,0.633694,0.623147,0.521708,0.155036,0.104763,0.079296,0.064571,0.050585,0.054245
L1,0.983499,1.000000,0.921776,0.884606,0.832374,0.740412,0.730912,0.631992,0.225765,0.169837,0.149947,0.132206,0.121126,0.126092
L2,0.846993,0.921776,1.000000,0.990715,0.971453,0.912681,0.903576,0.830179,0.401584,0.340919,0.332222,0.306281,0.305750,0.312499
L3,0.801111,0.884606,0.990715,1.000000,0.987582,0.941382,0.931762,0.865976,0.439453,0.374635,0.363648,0.333424,0.338295,0.339697
L4,0.735531,0.832374,0.971453,0.987582,1.000000,0.975235,0.968688,0.913661,0.478907,0.411375,0.405207,0.374220,0.384753,0.385824
L5,0.633694,0.740412,0.912681,0.941382,0.975235,1.000000,0.995553,0.967699,0.552414,0.481511,0.474357,0.441699,0.458319,0.455142
L6,0.623147,0.730912,0.903576,0.931762,0.968688,0.995553,1.000000,0.970049,0.536302,0.460288,0.451604,0.417202,0.438674,0.434712
L7,0.521708,0.631992,0.830179,0.865976,0.913661,0.967699,0.970049,1.000000,0.676594,0.605331,0.589372,0.551668,0.565747,0.561135
L8,0.155036,0.225765,0.401584,0.439453,0.478907,0.552414,0.536302,0.676594,1.000000,0.979792,0.939173,0.894309,0.842347,0.840625
L9,0.104763,0.169837,0.340919,0.374635,0.411375,0.481511,0.460288,0.605331,0.979792,1.000000,0.981579,0.947022,0.885267,0.890590
L10,0.079296,0.149947,0.332222,0.363648,0.405207,0.474357,0.451604,0.589372,0.939173,0.981579,1.000000,0.982668,0.926789,0.932487
L11,0.064571,0.132206,0.306281,0.333424,0.374220,0.441699,0.417202,0.551668,0.894309,0.947022,0.982668,1.000000,0.957977,0.962429
L12,0.050585,0.121126,0.305750,0.338295,0.384753,0.458319,0.438674,0.565747,0.842347,0.885267,0.926789,0.957977,1.000000,0.971176
L12+LN,0.054245,0.126092,0.312499,0.339697,0.385824,0.455142,0.434712,0.561135,0.840625,0.890590,0.932487,0.962429,0.971176,1.000000
