,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.983246,0.854318,0.831416,0.754498,0.658930,0.661784,0.539685,0.137203,0.088410,0.064800,0.046178,0.030522,0.028062
L1,0.983246,1.000000,0.927242,0.909986,0.849133,0.765715,0.766226,0.645550,0.200323,0.147710,0.131019,0.102688,0.078754,0.072301
L2,0.854318,0.927242,1.000000,0.996713,0.974223,0.925636,0.919004,0.828800,0.363815,0.313720,0.310672,0.265611,0.228606,0.215603
L3,0.831416,0.909986,0.996713,1.000000,0.985556,0.944997,0.939122,0.853684,0.387858,0.335378,0.328531,0.282608,0.244270,0.231275
L4,0.754498,0.849133,0.974223,0.985556,1.000000,0.981115,0.975400,0.903572,0.435151,0.380594,0.375221,0.323391,0.279645,0.265952
L5,0.658930,0.765715,0.925636,0.944997,0.981115,1.000000,0.995510,0.950491,0.501750,0.445435,0.430852,0.378657,0.332829,0.320628
L6,0.661784,0.766226,0.919004,0.939122,0.975400,0.995510,1.000000,0.953464,0.497108,0.435005,0.409674,0.358435,0.313595,0.303715
L7,0.539685,0.645550,0.828800,0.853684,0.903572,0.950491,0.953464,1.000000,0.691057,0.636756,0.582809,0.540599,0.495712,0.494307
L8,0.137203,0.200323,0.363815,0.387858,0.435151,0.501750,0.497108,0.691057,1.000000,0.975580,0.870987,0.858359,0.840480,0.838172
L9,0.088410,0.147710,0.313720,0.335378,0.380594,0.445435,0.435005,0.636756,0.975580,1.000000,0.942734,0.934616,0.919108,0.915384
L10,0.064800,0.131019,0.310672,0.328531,0.375221,0.430852,0.409674,0.582809,0.870987,0.942734,1.000000,0.983407,0.959773,0.939462
L11,0.046178,0.102688,0.265611,0.282608,0.323391,0.378657,0.358435,0.540599,0.858359,0.934616,0.983407,1.000000,0.983465,0.973892
L12,0.030522,0.078754,0.228606,0.244270,0.279645,0.332829,0.313595,0.495712,0.840480,0.919108,0.959773,0.983465,1.000000,0.986361
L12+LN,0.028062,0.072301,0.215603,0.231275,0.265952,0.320628,0.303715,0.494307,0.838172,0.915384,0.939462,0.973892,0.986361,1.000000
