,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.292675,0.257004,0.254175,0.269026,0.252890,0.269918,0.257559,0.284127,0.216631,0.018715,0.010236,0.005009,0.035983
L1,0.292675,1.000000,0.974411,0.961652,0.936397,0.892369,0.833687,0.825420,0.804754,0.768739,0.272878,0.340884,0.413197,0.509656
L2,0.257004,0.974411,1.000000,0.993593,0.969763,0.927498,0.866232,0.862257,0.834758,0.802138,0.292914,0.367773,0.436483,0.535654
L3,0.254175,0.961652,0.993593,1.000000,0.984487,0.950205,0.892527,0.888852,0.860289,0.827789,0.290394,0.365106,0.432515,0.551140
L4,0.269026,0.936397,0.969763,0.984487,1.000000,0.980400,0.932574,0.926704,0.898021,0.860628,0.290969,0.363342,0.427441,0.566701
L5,0.252890,0.892369,0.927498,0.950205,0.980400,1.000000,0.971623,0.965112,0.934220,0.887840,0.289431,0.357382,0.414845,0.569693
L6,0.269918,0.833687,0.866232,0.892527,0.932574,0.971623,1.000000,0.989058,0.957734,0.893818,0.275302,0.337770,0.391230,0.545851
L7,0.257559,0.825420,0.862257,0.888852,0.926704,0.965112,0.989058,1.000000,0.973221,0.922149,0.293832,0.362727,0.423430,0.571148
L8,0.284127,0.804754,0.834758,0.860289,0.898021,0.934220,0.957734,0.973221,1.000000,0.958714,0.311048,0.381075,0.439149,0.580506
L9,0.216631,0.768739,0.802138,0.827789,0.860628,0.887840,0.893818,0.922149,0.958714,1.000000,0.360981,0.443752,0.509817,0.643378
L10,0.018715,0.272878,0.292914,0.290394,0.290969,0.289431,0.275302,0.293832,0.311048,0.360981,1.000000,0.927505,0.674348,0.226008
L11,0.010236,0.340884,0.367773,0.365106,0.363342,0.357382,0.337770,0.362727,0.381075,0.443752,0.927505,1.000000,0.866356,0.324812
L12,0.005009,0.413197,0.436483,0.432515,0.427441,0.414845,0.391230,0.423430,0.439149,0.509817,0.674348,0.866356,1.000000,0.469834
L12+LN,0.035983,0.509656,0.535654,0.551140,0.566701,0.569693,0.545851,0.571148,0.580506,0.643378,0.226008,0.324812,0.469834,1.000000
