,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.194538,0.200636,0.203667,0.199790,0.179257,0.187548,0.180702,0.208491,0.185813,0.167172,0.088997,0.025968,0.070388
L1,0.197762,0.998678,0.988995,0.977697,0.951555,0.916721,0.889123,0.879714,0.856115,0.817435,0.815438,0.809346,0.741103,0.640072
L2,0.199710,0.985136,0.998874,0.994597,0.976838,0.947257,0.919707,0.911847,0.887739,0.850758,0.852868,0.850142,0.791142,0.676726
L3,0.201830,0.972350,0.992766,0.998747,0.988552,0.966209,0.940715,0.934006,0.909295,0.872649,0.876176,0.874188,0.820096,0.703839
L4,0.197753,0.948107,0.975102,0.988438,0.998702,0.987198,0.966925,0.961203,0.936619,0.899576,0.899117,0.888498,0.838224,0.733901
L5,0.178991,0.915990,0.947288,0.967304,0.988086,0.997970,0.986766,0.982961,0.961061,0.925308,0.918159,0.893089,0.844163,0.757983
L6,0.187841,0.881627,0.913018,0.935573,0.962534,0.983893,0.996697,0.993236,0.972606,0.932383,0.916313,0.874845,0.818025,0.751787
L7,0.181909,0.869208,0.902067,0.925792,0.953546,0.976889,0.990526,0.996235,0.978470,0.943312,0.926795,0.877989,0.821694,0.763224
L8,0.206388,0.854535,0.889476,0.913183,0.940597,0.964182,0.978487,0.985674,0.990685,0.961695,0.940944,0.878161,0.817274,0.770461
L9,0.183592,0.833076,0.871847,0.896337,0.922684,0.945329,0.955186,0.966704,0.975333,0.974103,0.965926,0.903711,0.836390,0.807568
L10,0.166805,0.807721,0.850280,0.874097,0.896416,0.913960,0.917023,0.928203,0.928968,0.936792,0.977704,0.948326,0.877650,0.836814
L11,0.089125,0.794842,0.836200,0.858420,0.871491,0.875515,0.863352,0.867877,0.849151,0.851247,0.925717,0.987649,0.929818,0.815467
L12,0.027633,0.731267,0.777435,0.803319,0.820050,0.825499,0.805211,0.809931,0.787384,0.786352,0.855524,0.923089,0.977479,0.802811
L12+LN,0.057642,0.677741,0.719315,0.746583,0.773182,0.791950,0.783554,0.793833,0.781792,0.800420,0.858022,0.877940,0.870548,0.944021
