dataset,stage,layer,cka_to_pretrained_same_layer
Coastal-TS,stage1_cls_early,Emb,0.9999998861348293
Coastal-TS,stage1_cls_early,L1,0.9986783497586803
Coastal-TS,stage1_cls_early,L2,0.9988735917279289
Coastal-TS,stage1_cls_early,L3,0.9987474225556909
Coastal-TS,stage1_cls_early,L4,0.9987021657397382
Coastal-TS,stage1_cls_early,L5,0.9979698403397416
Coastal-TS,stage1_cls_early,L6,0.9966970117916858
Coastal-TS,stage1_cls_early,L7,0.9962352871457645
Coastal-TS,stage1_cls_early,L8,0.9906850535896451
Coastal-TS,stage1_cls_early,L9,0.9741034949252562
Coastal-TS,stage1_cls_early,L10,0.9777039265742035
Coastal-TS,stage1_cls_early,L11,0.9876490331835815
Coastal-TS,stage1_cls_early,L12,0.9774794358075033
Coastal-TS,stage1_cls_early,L12+LN,0.9440205812872974
Coastal-TS,stage2_cls_late,Emb,0.9999999981895406
Coastal-TS,stage2_cls_late,L1,0.9957242980565796
Coastal-TS,stage2_cls_late,L2,0.9969537807776211
Coastal-TS,stage2_cls_late,L3,0.9965375868893668
Coastal-TS,stage2_cls_late,L4,0.99665475904002
Coastal-TS,stage2_cls_late,L5,0.9963810361896313
Coastal-TS,stage2_cls_late,L6,0.9946226196412576
Coastal-TS,stage2_cls_late,L7,0.9941234581782672
Coastal-TS,stage2_cls_late,L8,0.9905844104635017
Coastal-TS,stage2_cls_late,L9,0.9801616511295452
Coastal-TS,stage2_cls_late,L10,0.9801561599612295
Coastal-TS,stage2_cls_late,L11,0.9857943777652737
Coastal-TS,stage2_cls_late,L12,0.978206118702918
Coastal-TS,stage2_cls_late,L12+LN,0.9277963723167058
