,Emb,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L12+LN
Emb,1.000000,0.552212,0.560240,0.465248,0.321984,0.180308,0.160277,0.116307,0.126960,0.078247,0.071712,0.049087,0.030141,0.031273
L1,0.550701,0.987601,0.964268,0.836331,0.613451,0.416499,0.387472,0.329414,0.340129,0.266901,0.245570,0.214664,0.181951,0.147855
L2,0.555614,0.955465,0.989330,0.896515,0.696364,0.499479,0.467699,0.406094,0.422972,0.337187,0.314767,0.279644,0.246461,0.187265
L3,0.466037,0.827213,0.891303,0.989153,0.920137,0.794017,0.768597,0.710868,0.718274,0.638490,0.615769,0.583015,0.555457,0.484542
L4,0.328315,0.607696,0.698586,0.920488,0.986475,0.931442,0.914439,0.868578,0.874350,0.802377,0.781120,0.751419,0.730952,0.640967
L5,0.171371,0.391806,0.477286,0.787192,0.942520,0.990893,0.986755,0.975913,0.976861,0.941457,0.929249,0.908572,0.890118,0.805316
L6,0.149362,0.364115,0.444667,0.764586,0.930422,0.989689,0.992615,0.982894,0.982244,0.948650,0.936321,0.916133,0.898024,0.813894
L7,0.100957,0.293497,0.366068,0.692702,0.874090,0.967648,0.973610,0.994187,0.993780,0.984275,0.975931,0.959007,0.934534,0.851489
L8,0.111010,0.299003,0.374170,0.693009,0.870250,0.961647,0.967071,0.989516,0.994917,0.984126,0.976790,0.958884,0.932295,0.846673
L9,0.072551,0.242816,0.306795,0.635921,0.825377,0.938071,0.944464,0.979341,0.980946,0.995828,0.992925,0.981640,0.957632,0.890341
L10,0.067923,0.225649,0.287043,0.616585,0.808248,0.926523,0.932810,0.970365,0.971763,0.991462,0.996346,0.988822,0.966398,0.904852
L11,0.047385,0.194204,0.251786,0.583483,0.780782,0.907235,0.913838,0.954556,0.954092,0.979572,0.989522,0.995956,0.981378,0.921485
L12,0.030533,0.162697,0.218048,0.553687,0.757269,0.887362,0.893558,0.929894,0.927051,0.953689,0.967236,0.980651,0.991380,0.923941
L12+LN,0.031790,0.134487,0.167174,0.504156,0.697813,0.824985,0.828612,0.860160,0.849359,0.893186,0.910658,0.928687,0.933663,0.990517
