dataset,stage,layer,cka_to_pretrained_same_layer
M4,stage1_cls_early,Emb,0.9999998860821708
M4,stage1_cls_early,L1,0.997572967034369
M4,stage1_cls_early,L2,0.9967200449674435
M4,stage1_cls_early,L3,0.9970325608874966
M4,stage1_cls_early,L4,0.9971735742378824
M4,stage1_cls_early,L5,0.9974100915259929
M4,stage1_cls_early,L6,0.9975502256148492
M4,stage1_cls_early,L7,0.997154134331091
M4,stage1_cls_early,L8,0.9966625280860336
M4,stage1_cls_early,L9,0.9976526570512237
M4,stage1_cls_early,L10,0.9977873641956363
M4,stage1_cls_early,L11,0.9978676050615648
M4,stage1_cls_early,L12,0.9963032602309064
M4,stage1_cls_early,L12+LN,0.996299727988062
M4,stage2_cls_late,Emb,0.9999999981686591
M4,stage2_cls_late,L1,0.987600541834055
M4,stage2_cls_late,L2,0.9893301151267156
M4,stage2_cls_late,L3,0.9891533232473407
M4,stage2_cls_late,L4,0.9864748114036752
M4,stage2_cls_late,L5,0.9908931483856316
M4,stage2_cls_late,L6,0.9926154492896114
M4,stage2_cls_late,L7,0.9941871903159759
M4,stage2_cls_late,L8,0.9949170376202704
M4,stage2_cls_late,L9,0.9958278526049663
M4,stage2_cls_late,L10,0.9963462820106517
M4,stage2_cls_late,L11,0.9959564613559524
M4,stage2_cls_late,L12,0.9913796641520681
M4,stage2_cls_late,L12+LN,0.9905168497191842
