dataset,short,quantile_set,layer,cslot_test,fslot_test,delta_cslot_minus_fslot
monash_electricity_hourly,Electricity,q9,Emb,2.8606297969818115,4.783920129140218,-1.9232903321584063
monash_electricity_hourly,Electricity,q9,L1,2.5794230302174888,3.7511096000671387,-1.17168656984965
monash_electricity_hourly,Electricity,q9,L2,2.369269768397013,2.624767541885376,-0.2554977734883628
monash_electricity_hourly,Electricity,q9,L3,2.2981983025868735,2.15218194325765,0.14601635932922363
monash_electricity_hourly,Electricity,q9,L4,2.31303079922994,2.178190072377523,0.134840726852417
monash_electricity_hourly,Electricity,q9,L5,2.2685850461324057,2.230403025945028,0.03818202018737793
monash_electricity_hourly,Electricity,q9,L6,2.271842877070109,2.2013843854268393,0.07045849164326956
monash_electricity_hourly,Electricity,q9,L7,2.310582240422567,2.2471631368001304,0.06341910362243652
monash_electricity_hourly,Electricity,q9,L8,2.2938829263051352,2.2472105820973716,0.04667234420776367
monash_electricity_hourly,Electricity,q9,L9,2.316276788711548,2.1990860303243003,0.11719075838724757
monash_electricity_hourly,Electricity,q9,L10,2.3275633653004966,2.2210446993509927,0.10651866594950388
monash_electricity_hourly,Electricity,q9,L11,2.3261956373850503,2.2202565670013428,0.10593907038370753
monash_electricity_hourly,Electricity,q9,L12,2.434693177541097,2.133377949396769,0.3013152281443281
monash_electricity_hourly,Electricity,q9,L12+LN,2.432014306386312,2.0486289660135903,0.38338534037272165
uber_tlc_hourly,Uber,q9,Emb,4.117353757222493,4.829782485961914,-0.7124287287394209
uber_tlc_hourly,Uber,q9,L1,3.9492530028025308,4.547115166982015,-0.5978621641794839
uber_tlc_hourly,Uber,q9,L2,3.7197282314300537,4.170614083607991,-0.45088585217793753
uber_tlc_hourly,Uber,q9,L3,3.5390928586324057,3.5512801011403403,-0.01218724250793457
uber_tlc_hourly,Uber,q9,L4,3.5470462640126548,3.4370789527893066,0.10996731122334813
uber_tlc_hourly,Uber,q9,L5,3.526118278503418,3.3319985071818032,0.19411977132161473
uber_tlc_hourly,Uber,q9,L6,3.51164444287618,3.3186248938242593,0.19301954905192087
uber_tlc_hourly,Uber,q9,L7,3.4977328777313232,3.280343929926554,0.21738894780476903
uber_tlc_hourly,Uber,q9,L8,3.5125938256581626,3.2657065391540527,0.24688728650410985
uber_tlc_hourly,Uber,q9,L9,3.5182456970214844,3.243045965830485,0.2751997311909995
uber_tlc_hourly,Uber,q9,L10,3.5398050944010415,3.28411865234375,0.2556864420572915
uber_tlc_hourly,Uber,q9,L11,3.570328712463379,3.302381912867228,0.26794679959615086
uber_tlc_hourly,Uber,q9,L12,3.686903715133667,3.289570967356364,0.3973327477773032
uber_tlc_hourly,Uber,q9,L12+LN,3.718881130218506,3.261967976888021,0.4569131533304849
m4_hourly,M4,q9,Emb,2.661404609680176,4.81136957804362,-2.1499649683634443
m4_hourly,M4,q9,L1,2.407066583633423,3.5558188756306968,-1.148752291997274
m4_hourly,M4,q9,L2,2.2824055353800454,2.2321115334828696,0.05029400189717581
m4_hourly,M4,q9,L3,2.1560301780700684,1.992142915725708,0.16388726234436035
m4_hourly,M4,q9,L4,2.11952273050944,1.990273912747701,0.12924881776173902
m4_hourly,M4,q9,L5,2.037193695704142,1.9814881483713787,0.05570554733276345
m4_hourly,M4,q9,L6,2.0133041938145957,2.0195138454437256,-0.0062096516291298975
m4_hourly,M4,q9,L7,2.0157126585642495,2.048370281855265,-0.032657623291015625
m4_hourly,M4,q9,L8,1.9718960523605347,2.023520310719808,-0.05162425835927342
m4_hourly,M4,q9,L9,2.026536146799723,2.0712336699167886,-0.04469752311706543
m4_hourly,M4,q9,L10,2.083949168523153,2.097670237223307,-0.013721068700154326
m4_hourly,M4,q9,L11,2.0828630129496255,2.1013691425323486,-0.01850612958272313
m4_hourly,M4,q9,L12,2.279939572016398,2.1039045651753745,0.17603500684102347
m4_hourly,M4,q9,L12+LN,2.2571260929107666,2.023229440053304,0.23389665285746242
wind_farms_hourly,WindFarms,q9,Emb,3.2693494160970054,3.9533022244771323,-0.683952808380127
wind_farms_hourly,WindFarms,q9,L1,3.01253080368042,3.4837228457132974,-0.47119204203287746
wind_farms_hourly,WindFarms,q9,L2,2.9012279510498047,3.162790139516195,-0.2615621884663901
wind_farms_hourly,WindFarms,q9,L3,2.7896397908528647,2.930383046468099,-0.14074325561523438
wind_farms_hourly,WindFarms,q9,L4,2.6794124444325766,2.8476707140604653,-0.1682582696278887
wind_farms_hourly,WindFarms,q9,L5,2.679654598236084,2.7004329363505044,-0.020778338114420425
wind_farms_hourly,WindFarms,q9,L6,2.691378434499105,2.740938107172648,-0.049559672673543
wind_farms_hourly,WindFarms,q9,L7,2.6894239584604898,2.7762473424275718,-0.086823383967082
wind_farms_hourly,WindFarms,q9,L8,2.709234635035197,2.8472136656443277,-0.13797903060913086
wind_farms_hourly,WindFarms,q9,L9,2.6763715744018555,2.7880049546559653,-0.11163338025410985
wind_farms_hourly,WindFarms,q9,L10,2.790659030278524,2.992331027984619,-0.20167199770609523
wind_farms_hourly,WindFarms,q9,L11,2.8396592934926352,3.068363904953003,-0.2287046114603677
wind_farms_hourly,WindFarms,q9,L12,3.032741149266561,3.0712473392486572,-0.038506189982096206
wind_farms_hourly,WindFarms,q9,L12+LN,2.9144070148468018,2.9569236437479653,-0.04251662890116359
