pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,layer,layer_label,quantile_loss,mase,is_selected_layer,is_reference,in_sustained_tunnel
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,0,Emb,5.809849,2.543156,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,1,L1,3.13284,1.430627,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,2,L2,3.057593,1.397096,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,3,L3,2.586341,1.139711,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,4,L4,2.420139,1.057119,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,5,L5,2.37223,1.098082,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,6,L6,2.352235,1.072283,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,7,L7,2.354584,1.050069,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,8,L8,2.451782,1.160487,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,9,L9,2.409723,1.10234,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,10,L10,2.412814,1.140594,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,11,L11,2.384793,1.181491,True,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,12,L12,2.43959,1.193771,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,13,L12+LN,2.334594,1.120473,False,True,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,3,11,L12+LN,q9,fslot_mlp,native_mlp,0,Emb,6.622668,2.501407,False,False,False
