pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,val_selected_layer_label,quantile_loss_at_selected,quantile_loss_at_reference,mase_at_selected,mase_at_reference,transfer_gap,relative_regret_at_selected_supp,n_test_windows,n_test_clusters
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,L12+LN,2.144787,2.144787,1.041835,1.041835,0.0,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,L12+LN,3.375166,3.375166,0.942117,0.942117,0.016016,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,L12+LN,1.733539,1.733539,2.473708,2.473708,-0.140216,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q9,fslot,shared_linear,L12+LN,3.177335,3.177335,4.845613,4.845613,0.156371,0.050495,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,L9,2.834569,2.51239,1.402815,1.270978,0.321609,0.128236,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,L9,3.32196,3.308122,0.914937,0.972629,0.0,0.004183,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,m4_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,L9,2.768927,2.051315,7.763628,3.6708,0.373305,0.34983,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,wind_farms_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,4,9,L12+LN,q9,fslot,shared_linear,L9,3.672376,3.436038,5.071337,5.18334,0.336539,0.068782,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,monash_electricity_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,L3,2.777659,2.456435,1.329215,1.148088,0.295074,0.130768,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,uber_tlc_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,L3,4.412853,4.114586,1.390436,1.184222,0.328388,0.171351,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,m4_hourly,m4_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,L3,2.01625,2.095288,2.995623,3.503947,0.0,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,wind_farms_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,L3,4.353116,4.609137,6.31225,5.658743,0.58429,0.184141,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,monash_electricity_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,L5,2.666247,2.42713,1.282387,1.229613,0.243129,0.098519,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,uber_tlc_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,L5,4.22157,3.571435,1.136688,1.041371,0.270807,0.188286,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,m4_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,L5,2.811625,2.009701,6.083748,3.483744,0.394482,0.399027,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,wind_farms_hourly,wind_farms_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q9,fslot,shared_linear,L5,2.747676,3.023892,4.679385,4.809085,0.0,0.0,262,262
