source_dataset,target_dataset,target_domain,l_start,r_eff_l_start,r_eff_last,delta_r_eff_abs,delta_r_eff_rel
monash_electricity_hourly,monash_electricity_hourly,pt_id,10,22.5311,7.6913,-14.8398,-0.658637
uber_tlc_hourly,monash_electricity_hourly,pt_id,4,31.4944,7.6913,-23.8032,-0.75579
m4_hourly,monash_electricity_hourly,pt_id,3,23.6885,7.6913,-15.9973,-0.675317
wind_farms_hourly,monash_electricity_hourly,pt_id,12,8.7807,7.6913,-1.0895,-0.124075
monash_electricity_hourly,uber_tlc_hourly,pt_id,10,21.8553,15.3356,-6.5198,-0.298315
uber_tlc_hourly,uber_tlc_hourly,pt_id,4,37.4271,15.3356,-22.0916,-0.590255
m4_hourly,uber_tlc_hourly,pt_id,3,21.1655,15.3356,-5.8299,-0.275444
wind_farms_hourly,uber_tlc_hourly,pt_id,12,3.0505,15.3356,12.2851,4.027207
monash_electricity_hourly,m4_hourly,pt_id,10,9.9981,4.9877,-5.0103,-0.501129
uber_tlc_hourly,m4_hourly,pt_id,4,16.6623,4.9877,-11.6745,-0.700656
m4_hourly,m4_hourly,pt_id,3,14.2056,4.9877,-9.2178,-0.648888
wind_farms_hourly,m4_hourly,pt_id,12,5.5606,4.9877,-0.5728,-0.103017
monash_electricity_hourly,wind_farms_hourly,pt_id,10,23.8203,27.5604,3.7401,0.157015
uber_tlc_hourly,wind_farms_hourly,pt_id,4,36.4509,27.5604,-8.8905,-0.243903
m4_hourly,wind_farms_hourly,pt_id,3,20.547,27.5604,7.0134,0.341335
wind_farms_hourly,wind_farms_hourly,pt_id,12,2.7706,27.5604,24.7898,8.947469
monash_electricity_hourly,sg_carpark,pt_ood,10,20.547,5.8022,-14.7449,-0.717615
uber_tlc_hourly,sg_carpark,pt_ood,4,28.6333,5.8022,-22.8311,-0.797363
m4_hourly,sg_carpark,pt_ood,3,19.7879,5.8022,-13.9858,-0.706783
wind_farms_hourly,sg_carpark,pt_ood,12,6.8432,5.8022,-1.041,-0.152127
monash_electricity_hourly,coastal_ts,pt_ood,10,57.4114,17.3512,-40.0603,-0.697775
uber_tlc_hourly,coastal_ts,pt_ood,4,25.8737,17.3512,-8.5226,-0.329391
m4_hourly,coastal_ts,pt_ood,3,14.9635,17.3512,2.3877,0.159566
wind_farms_hourly,coastal_ts,pt_ood,12,5.7455,17.3512,11.6057,2.01998
monash_electricity_hourly,boom_hourly,pt_ood,10,16.9514,29.1149,12.1635,0.717548
uber_tlc_hourly,boom_hourly,pt_ood,4,41.4075,29.1149,-12.2926,-0.296869
m4_hourly,boom_hourly,pt_ood,3,22.7898,29.1149,6.3251,0.277543
wind_farms_hourly,boom_hourly,pt_ood,12,2.6691,29.1149,26.4458,9.908216
