dataset,tolerance,l_start,is_primary
monash_electricity_hourly,0.02,13,False
monash_electricity_hourly,0.05,10,True
monash_electricity_hourly,0.08,5,False
monash_electricity_hourly,0.1,5,False
uber_tlc_hourly,0.02,5,False
uber_tlc_hourly,0.05,4,True
uber_tlc_hourly,0.08,3,False
uber_tlc_hourly,0.1,3,False
m4_hourly,0.02,3,False
m4_hourly,0.05,3,True
m4_hourly,0.08,3,False
m4_hourly,0.1,3,False
wind_farms_hourly,0.02,3,False
wind_farms_hourly,0.05,3,True
wind_farms_hourly,0.08,2,False
wind_farms_hourly,0.1,2,False
