pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,probe_protocol_version,val_selected_layer_label,quantile_loss_at_selected,quantile_loss_at_reference,mase_at_selected,mase_at_reference,transfer_gap,relative_regret_at_selected_supp,n_test_windows,n_test_clusters
PT-ID,Probe-ID,PT-ID / Probe-ID,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q1,fslot,shared_linear,v2,L12+LN,0.276493,0.276493,0.967774,0.967774,0.0,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,uber_tlc_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q1,fslot,shared_linear,v2,L12+LN,0.460808,0.460808,0.912589,0.912589,0.001586,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,m4_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q1,fslot,shared_linear,v2,L12+LN,0.222503,0.222503,2.207126,2.207126,-0.175611,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,monash_electricity_hourly,wind_farms_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q1,fslot,shared_linear,v2,L12+LN,0.403242,0.403242,4.75244,4.75244,0.103069,0.0416,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,monash_electricity_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,3,9,L12+LN,q1,fslot,shared_linear,v2,L9,0.349006,0.327485,1.242674,1.201933,0.262258,0.065715,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,3,9,L12+LN,q1,fslot,shared_linear,v2,L9,0.460079,0.469398,0.904931,0.951532,0.0,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,m4_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,3,9,L12+LN,q1,fslot,shared_linear,v2,L9,0.335082,0.26696,6.470318,3.309813,0.2415,0.255178,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,uber_tlc_hourly,wind_farms_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,3,9,L12+LN,q1,fslot,shared_linear,v2,L9,0.428443,0.455588,4.927498,5.049404,0.172009,0.0,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,monash_electricity_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,12,L12+LN,q1,fslot,shared_linear,v2,L12,0.308655,0.300017,1.10795,1.076233,0.11632,0.028792,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,uber_tlc_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,12,L12+LN,q1,fslot,shared_linear,v2,L12,0.512146,0.482781,1.319419,0.994583,0.113171,0.060825,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,m4_hourly,m4_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,12,L12+LN,q1,fslot,shared_linear,v2,L12,0.269901,0.269541,3.932878,3.512575,0.0,0.012496,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,m4_hourly,wind_farms_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,12,L12+LN,q1,fslot,shared_linear,v2,L12,0.540391,0.456341,6.228113,5.069601,0.478241,0.184182,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,monash_electricity_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q1,fslot,shared_linear,v2,L5,0.346641,0.302115,1.229491,1.076338,0.253707,0.147383,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,uber_tlc_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q1,fslot,shared_linear,v2,L5,0.574226,0.476886,1.101679,0.958418,0.248104,0.204116,262,262
PT-ID,Probe-OOD,PT-ID / Probe-OOD,wind_farms_hourly,m4_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q1,fslot,shared_linear,v2,L5,0.338563,0.247516,5.52592,2.879896,0.254397,0.367839,262,262
PT-ID,Probe-ID,PT-ID / Probe-ID,wind_farms_hourly,wind_farms_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q1,fslot,shared_linear,v2,L5,0.365563,0.411091,4.642464,4.765826,0.0,0.0,262,262
