pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,probe_protocol_version,val_selected_layer_label,quantile_loss_at_selected,quantile_loss_at_reference,mase_at_selected,mase_at_reference,transfer_gap,relative_regret_at_selected_supp,n_test_windows,n_test_clusters
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,sg_carpark,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q1,fslot,shared_linear,v2,L12+LN,0.224275,0.224275,0.77084,0.77084,,0.0,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,coastal_ts,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q1,fslot,shared_linear,v2,L12+LN,0.535754,0.535754,1.299346,1.299346,,0.0,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,monash_electricity_hourly,boom_hourly,monash_electricity_hourly,monash_electricity_hourly:validation,monash_electricity_hourly:validation,10,13,L12+LN,q1,fslot,shared_linear,v2,L12+LN,0.315519,0.315519,1.271095,1.271095,,0.0,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,sg_carpark,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,3,9,L12+LN,q1,fslot,shared_linear,v2,L9,0.278821,0.266312,0.953754,0.915931,,0.076713,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,coastal_ts,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,3,9,L12+LN,q1,fslot,shared_linear,v2,L9,0.751143,0.605532,2.022058,1.592249,,0.25603,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,uber_tlc_hourly,boom_hourly,uber_tlc_hourly,uber_tlc_hourly:validation,uber_tlc_hourly:validation,3,9,L12+LN,q1,fslot,shared_linear,v2,L9,0.390979,0.377106,1.491791,1.502318,,0.036787,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,12,L12+LN,q1,fslot,shared_linear,v2,L12,0.277455,0.281765,0.968608,0.986464,,0.0,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,coastal_ts,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,12,L12+LN,q1,fslot,shared_linear,v2,L12,0.580668,0.573443,1.450805,1.430246,,0.0126,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,boom_hourly,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,12,L12+LN,q1,fslot,shared_linear,v2,L12,0.454816,0.352586,2.665371,1.447831,,0.289945,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,wind_farms_hourly,sg_carpark,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q1,fslot,shared_linear,v2,L5,0.274093,0.232182,0.966351,0.80337,,0.18051,354,354
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,wind_farms_hourly,coastal_ts,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q1,fslot,shared_linear,v2,L5,0.564576,0.537463,1.393123,1.283938,,0.059681,48,24
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,wind_farms_hourly,boom_hourly,wind_farms_hourly,wind_farms_hourly:validation,wind_farms_hourly:validation,3,5,L12+LN,q1,fslot,shared_linear,v2,L5,0.332431,0.31198,1.261767,1.246636,,0.065552,354,354
