dataset,short,kind,selection_rule,depth,depth_label,depth_provenance,window_provenance,active_params,active_fraction,block_flops_fraction,end_to_end_flops_fraction,fp32_weight_mib,native_mase,truncated_mase,no_adapter_mase,linear_probe_q1_mase,delta_mase,delta_mase_ci_lo,delta_mase_ci_hi,relative_mase,relative_mase_ci_lo,relative_mase_ci_hi,gap_recovery,gap_recovery_ci_lo,gap_recovery_ci_hi,native_wql,truncated_wql,relative_wql,relative_wql_ci_lo,relative_wql_ci_hi,n_windows,n_series,bootstrap_B,seed,quantile_set
monash_electricity_hourly,Electricity,PT-ID,saturation,10,L10,"committed tunnel record (l_start), re-derived and verified",identical to the depth-selection run (element-wise),101189280,0.8469305191638162,0.8333333333333334,0.8379731108969384,386.0064697265625,0.836189235309665,0.9583607131669867,1.2471488860089839,1.043972495926173,0.12217147785732163,0.1001233451404809,0.1443828755783968,0.14610505935546758,0.11647795699070469,0.17760146410258948,0.7028691974328224,0.6532430982927236,0.7482334672747686,1.1613967361882958,1.3713458923333708,0.18335180015196073,0.11554495396742799,0.29067980979742375,262,262,5000,0,q1
uber_tlc_hourly,Uber TLC,PT-ID,saturation,3,L3,"committed tunnel record (l_start), re-derived and verified",identical to the depth-selection run (element-wise),35112864,0.29388642884748734,0.25,0.2689685023923853,133.9449462890625,0.8060061833079477,0.8752231436573726,1.2590619583115454,1.012096394470895,0.06921696034942493,0.0571615706977066,0.08151930345888145,0.08587646321192,0.07158222909574476,0.10092076798706312,0.8472613200814864,0.8269442255643497,0.8674122061680994,4.193908287375907,4.847350391558842,0.1558770803294405,0.1272036328816539,0.18588528241584898,262,262,5000,0,q1
m4_hourly,M4,PT-ID,saturation,3,L3,"committed tunnel record (l_start), re-derived and verified",identical to the depth-selection run (element-wise),35112864,0.29388642884748734,0.25,0.2689685023923853,133.9449462890625,0.928948869561024,1.442685665380102,8.78914793573325,2.8087685634552866,0.5137367958190779,0.4213807123189313,0.6194719719432057,0.5530302179729709,0.45016606572171214,0.6698565525542937,0.9342969038960156,0.9207092767419932,0.9466705435697819,0.772206724996624,1.3253801342016525,0.7299878258818868,0.40555482152408484,1.060354267964305,262,262,5000,0,q1
wind_farms_hourly,Wind Farms,PT-ID,saturation,3,L3,"committed tunnel record (l_start), re-derived and verified",identical to the depth-selection run (element-wise),35112864,0.29388642884748734,0.25,0.2689685023923853,133.9449462890625,4.354279986092688,4.418114090034816,5.102433872672037,4.8412547135749335,0.06383410394212774,0.0021660634131556843,0.12979414227368863,0.014660082527079066,0.0005344431383129905,0.12652221189485166,0.9160916481137407,0.8423328623801317,0.9965869959663559,3.0039540327909657,3.0732106205022696,0.025459999894812995,-0.04695097661486077,0.10348483664010372,262,262,5000,0,q1
sg_carpark,SG Carpark,PT-OOD,saturation,11,L11,derived from the per_target mean validation curve (same criterion),identical to the depth-selection run (element-wise),110628768,0.9259368177804347,0.9166666666666666,0.919259483540446,422.0152587890625,0.5977898490767249,0.6368647346158477,1.597675168085857,0.8020017540940839,0.03907488553912275,0.021233693466582916,0.05929778966214147,0.06536558892639799,0.034449834548483424,0.10234179703962279,0.961169518001992,0.9408453161864081,0.978736643588952,0.5396822436008579,0.5806176725981468,0.07674237004857501,0.033275114051807046,0.1251036887562991,354,354,5000,0,q1
coastal_ts,Coastal T-S,PT-OOD,saturation,1,L1,derived from the per_target mean validation curve (same criterion),identical to the depth-selection run (element-wise),16233888,0.1358738316142505,0.08333333333333333,0.10639575710537015,61.9273681640625,1.127464720877742,1.1472149644713816,1.7799672637146184,1.237341077153265,0.019750243593639638,-0.10761994090925382,0.1385189829215753,0.017517393873099474,-0.08451870667238308,0.13544213150277576,0.9779372684636833,0.7832398929156338,1.2083827186634013,0.15488362632119707,0.16219398800141802,0.047722932141774255,-0.030203356993319372,0.13315446080877408,48,24,5000,0,q1
boom_hourly,BOOM,PT-OOD,saturation,3,L3,derived from the per_target mean validation curve (same criterion),identical to the depth-selection run (element-wise),35112864,0.29388642884748734,0.25,0.2689685023923853,133.9449462890625,0.9436376998286659,1.044329521648513,1.3733512575701519,1.2163382441856567,0.10069182181984704,0.06920782395078524,0.13356718112231838,0.10670601846251948,0.0597974980839184,0.1957014511779224,0.7643225530976498,0.6993283193450285,0.8283407417416949,5.524913271280428,6.4900186622137,0.18749699555779126,0.08248482871857087,0.3635474512709119,354,354,5000,0,q1
monash_electricity_hourly,Electricity,PT-ID,erank,6,L6,"argmax effective rank (train split, N=4096)",identical to the depth-selection run (element-wise),63431328,0.5309053246973426,0.5,0.5128276203229081,241.9713134765625,0.836189235309665,0.9510609962007052,1.2902404813889916,1.043811314959979,0.11487176089104012,0.09021820501076624,0.1412402179866499,0.13737531654362867,0.10463541633946494,0.17473299920681357,0.7473371180640279,0.7028341795982982,0.7918767637067888,1.1613967361882958,1.3946079689846693,0.20362328180614933,0.12187145495900273,0.32844593738531086,262,262,5000,0,q1
uber_tlc_hourly,Uber TLC,PT-ID,erank,6,L6,"argmax effective rank (train split, N=4096)",identical to the depth-selection run (element-wise),63431328,0.5309053246973426,0.5,0.5128276203229081,241.9713134765625,0.8060061833079477,0.8372607645900592,1.0666148132129387,0.9312818557260519,0.03125458128211145,0.024411738594388218,0.03819899164934417,0.038777098649341424,0.030355248216694514,0.04742097839972141,0.8793937604340848,0.8500810216956043,0.9058857247714683,4.193908287375907,4.415240098909059,0.05286180650401878,0.033653507799628654,0.07259680100834238,262,262,5000,0,q1
m4_hourly,M4,PT-ID,erank,6,L6,"argmax effective rank (train split, N=4096)",identical to the depth-selection run (element-wise),63431328,0.5309053246973426,0.5,0.5128276203229081,241.9713134765625,0.928948869561024,1.2430316266553918,3.434022553938249,3.409595829777623,0.31408275709436784,0.238463018664322,0.40427116141401537,0.3381055377598856,0.2620164954924592,0.4256887064942345,0.8746258331800094,0.8478792002062957,0.8975976944938534,0.772206724996624,1.0688361020109443,0.3935716181256659,0.17155562504531804,0.6149828826845541,262,262,5000,0,q1
