dataset,short,kind,epsilon,depth,depth_label,n_blocks,needs_adapter,active_fraction,block_flops_fraction
monash_electricity_hourly,Electricity,PT-ID,0.1,9,L9,9,True,0.7679242205471979,0.75
monash_electricity_hourly,Electricity,PT-ID,0.05,10,L10,10,True,0.8469305191638162,0.8333333333333334
monash_electricity_hourly,Electricity,PT-ID,0.03,11,L11,11,True,0.9259368177804347,0.9166666666666666
monash_electricity_hourly,Electricity,PT-ID,0.02,13,L12+RMS,12,False,1.0,1.0
uber_tlc_hourly,Uber TLC,PT-ID,0.1,3,L3,3,True,0.29388642884748734,0.25
uber_tlc_hourly,Uber TLC,PT-ID,0.05,3,L3,3,True,0.29388642884748734,0.25
uber_tlc_hourly,Uber TLC,PT-ID,0.03,4,L4,4,True,0.37289272746410573,0.3333333333333333
uber_tlc_hourly,Uber TLC,PT-ID,0.02,4,L4,4,True,0.37289272746410573,0.3333333333333333
m4_hourly,M4,PT-ID,0.1,3,L3,3,True,0.29388642884748734,0.25
m4_hourly,M4,PT-ID,0.05,3,L3,3,True,0.29388642884748734,0.25
m4_hourly,M4,PT-ID,0.03,3,L3,3,True,0.29388642884748734,0.25
m4_hourly,M4,PT-ID,0.02,6,L6,6,True,0.5309053246973426,0.5
wind_farms_hourly,Wind Farms,PT-ID,0.1,2,L2,2,True,0.21488013023086894,0.16666666666666666
wind_farms_hourly,Wind Farms,PT-ID,0.05,3,L3,3,True,0.29388642884748734,0.25
wind_farms_hourly,Wind Farms,PT-ID,0.03,3,L3,3,True,0.29388642884748734,0.25
wind_farms_hourly,Wind Farms,PT-ID,0.02,4,L4,4,True,0.37289272746410573,0.3333333333333333
sg_carpark,SG Carpark,PT-OOD,0.1,9,L9,9,True,0.7679242205471979,0.75
sg_carpark,SG Carpark,PT-OOD,0.05,11,L11,11,True,0.9259368177804347,0.9166666666666666
sg_carpark,SG Carpark,PT-OOD,0.03,11,L11,11,True,0.9259368177804347,0.9166666666666666
sg_carpark,SG Carpark,PT-OOD,0.02,12,L12,12,True,1.004943116397053,1.0
coastal_ts,Coastal T-S,PT-OOD,0.1,1,L1,1,True,0.1358738316142505,0.08333333333333333
coastal_ts,Coastal T-S,PT-OOD,0.05,1,L1,1,True,0.1358738316142505,0.08333333333333333
coastal_ts,Coastal T-S,PT-OOD,0.03,1,L1,1,True,0.1358738316142505,0.08333333333333333
coastal_ts,Coastal T-S,PT-OOD,0.02,1,L1,1,True,0.1358738316142505,0.08333333333333333
boom_hourly,BOOM,PT-OOD,0.1,3,L3,3,True,0.29388642884748734,0.25
boom_hourly,BOOM,PT-OOD,0.05,3,L3,3,True,0.29388642884748734,0.25
boom_hourly,BOOM,PT-OOD,0.03,4,L4,4,True,0.37289272746410573,0.3333333333333333
boom_hourly,BOOM,PT-OOD,0.02,5,L5,5,True,0.4518990260807242,0.4166666666666667
