dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
coastal_ts,PT-OOD,native,13,L12+RMS,1.127465,0.302806,0.154742,0.0,0.0,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,0,Emb,2.445849,0.528862,0.299147,1.169336,0.933199,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,1,L1,1.779967,0.409258,0.224891,0.578734,0.453329,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,2,L2,1.586977,0.371481,0.21256,0.407562,0.373643,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,3,L3,1.511343,0.357935,0.203466,0.340479,0.31487,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,4,L4,1.439267,0.347276,0.201062,0.276552,0.299338,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,5,L5,1.387314,0.337197,0.198423,0.230472,0.282279,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,6,L6,1.392708,0.343903,0.20549,0.235257,0.327951,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,7,L7,1.394495,0.33952,0.202543,0.236841,0.308908,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,8,L8,1.342282,0.332005,0.198722,0.190531,0.284213,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,9,L9,1.294069,0.331183,0.197771,0.147769,0.278071,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,10,L10,1.231769,0.328542,0.187594,0.092512,0.212299,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,11,L11,1.34406,0.335378,0.199239,0.192108,0.287556,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,12,L12,1.127465,0.302806,0.154742,0.0,0.0,1.127465,0.154742
coastal_ts,PT-OOD,zero_shot,13,L12+RMS,1.127465,0.302806,0.154742,0.0,0.0,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,0,Emb,2.447483,0.526038,0.266646,1.170785,0.723161,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,1,L1,1.147215,0.316574,0.162172,0.017517,0.048013,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,2,L2,1.135757,0.313474,0.160339,0.007354,0.03617,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,3,L3,1.145944,0.313292,0.162327,0.01639,0.049013,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,4,L4,1.141818,0.306668,0.15989,0.012731,0.033265,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,5,L5,1.167862,0.321499,0.16531,0.03583,0.068297,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,6,L6,1.166101,0.31072,0.160674,0.034269,0.038336,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,7,L7,1.163613,0.311321,0.157775,0.032062,0.0196,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,8,L8,1.127074,0.30557,0.156476,-0.000347,0.011208,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,9,L9,1.198215,0.301804,0.156722,0.062752,0.012796,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,10,L10,1.1958,0.318796,0.162227,0.06061,0.048368,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,11,L11,1.189299,0.318107,0.163749,0.054844,0.058205,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,12,L12,1.0937,0.291444,0.148915,-0.029948,-0.037657,1.127465,0.154742
coastal_ts,PT-OOD,linear_adapter,13,L12+RMS,1.127465,0.302806,0.154742,0.0,0.0,1.127465,0.154742
