dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
monash_electricity_hourly,PT-ID,native,13,L12+RMS,0.836189,187.65801,1.156007,0.0,0.0,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,0,Emb,2.523156,692.878119,4.090195,2.017447,2.538208,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,1,L1,2.526699,703.74662,4.303172,2.021683,2.722443,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,2,L2,2.490968,690.598317,4.410614,1.978952,2.815386,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,3,L3,2.221455,609.214318,3.914101,1.656642,2.385879,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,4,L4,1.977495,527.093014,3.426562,1.364889,1.964135,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,5,L5,1.472437,362.579029,2.40967,0.76089,1.084477,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,6,L6,1.29024,301.617552,2.059541,0.543001,0.781599,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,7,L7,1.054599,241.060686,1.750885,0.261197,0.514596,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,8,L8,1.04466,237.94081,1.688529,0.24931,0.460656,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,9,L9,1.124136,295.344006,2.22356,0.344356,0.923482,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,10,L10,1.247149,347.983973,2.773549,0.491467,1.399249,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,11,L11,1.520548,443.771166,3.580111,0.818426,2.096962,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,12,L12,0.836189,187.65801,1.156007,0.0,0.0,0.836189,1.156007
monash_electricity_hourly,PT-ID,zero_shot,13,L12+RMS,0.836189,187.65801,1.156007,0.0,0.0,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,0,Emb,2.476813,664.694758,3.702919,1.962025,2.203197,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,1,L1,1.869998,487.25547,2.73029,1.236334,1.361828,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,2,L2,1.132357,276.835694,1.702071,0.354187,0.472371,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,3,L3,0.908046,218.140659,1.364196,0.085934,0.180092,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,4,L4,0.935234,224.790247,1.407164,0.118448,0.217262,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,5,L5,0.934623,217.415246,1.368173,0.117717,0.183533,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,6,L6,0.951061,218.208216,1.381984,0.137375,0.19548,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,7,L7,0.966706,222.569312,1.41404,0.156085,0.22321,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,8,L8,0.970607,228.803661,1.448138,0.160751,0.252706,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,9,L9,0.963094,220.666754,1.365929,0.151765,0.181592,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,10,L10,0.958361,220.434688,1.360894,0.146105,0.177236,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,11,L11,0.94675,229.727107,1.445403,0.132219,0.250341,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,12,L12,0.852675,206.414223,1.28607,0.019715,0.112511,0.836189,1.156007
monash_electricity_hourly,PT-ID,linear_adapter,13,L12+RMS,0.836189,187.65801,1.156007,0.0,0.0,0.836189,1.156007
