dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
uber_tlc_hourly,PT-ID,native,13,L12+RMS,0.806006,4.739744,4.194076,0.0,0.0,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,0,Emb,1.341922,9.86187,8.950291,0.664903,1.134032,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,1,L1,1.329551,10.365785,9.369402,0.649555,1.233961,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,2,L2,1.303751,10.209026,9.344999,0.617545,1.228143,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,3,L3,1.259062,9.655532,8.910736,0.5621,1.124601,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,4,L4,1.193291,8.798431,8.217428,0.480498,0.959294,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,5,L5,1.110079,7.502717,7.000057,0.377258,0.669034,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,6,L6,1.066615,6.875305,6.635227,0.323333,0.582047,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,7,L7,0.98157,5.99137,5.789599,0.217819,0.380423,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,8,L8,0.988158,5.863449,5.790315,0.225993,0.380594,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,9,L9,0.951962,5.561041,5.55202,0.181085,0.323777,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,10,L10,0.892045,5.68287,5.744199,0.106747,0.369598,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,11,L11,0.949233,6.20169,6.310118,0.177699,0.504531,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,12,L12,0.806006,4.739744,4.194076,0.0,0.0,0.806006,4.194076
uber_tlc_hourly,PT-ID,zero_shot,13,L12+RMS,0.806006,4.739744,4.194076,0.0,0.0,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,0,Emb,1.316082,9.795913,8.273068,0.632844,0.972561,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,1,L1,1.169176,8.762699,7.533463,0.45058,0.796215,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,2,L2,1.055855,7.535357,6.455342,0.309984,0.539157,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,3,L3,0.875223,5.611963,4.849559,0.085876,0.156288,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,4,L4,0.84948,5.259012,4.517458,0.053937,0.077104,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,5,L5,0.841662,5.17075,4.482962,0.044238,0.06888,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,6,L6,0.837261,5.076487,4.415769,0.038777,0.052859,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,7,L7,0.826744,4.924632,4.36898,0.025729,0.041703,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,8,L8,0.830683,5.000301,4.415452,0.030616,0.052783,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,9,L9,0.821946,4.973891,4.397177,0.019777,0.048426,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,10,L10,0.820427,4.965,4.409198,0.017891,0.051292,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,11,L11,0.821869,4.937565,4.334035,0.01968,0.033371,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,12,L12,0.811893,4.789628,4.264749,0.007304,0.016851,0.806006,4.194076
uber_tlc_hourly,PT-ID,linear_adapter,13,L12+RMS,0.806006,4.739744,4.194076,0.0,0.0,0.806006,4.194076
