dataset,short,kind,layer,layer_label,condition,experiment,mase,mase_ci_lo,mase_ci_hi
monash_electricity_hourly,Electricity,PT-ID,0,Emb,zero_shot,ext_v5,2.523544,2.400331,2.644681
monash_electricity_hourly,Electricity,PT-ID,0,Emb,linear_adapter,ext_v5,2.477272,2.359179,2.59397
monash_electricity_hourly,Electricity,PT-ID,0,Emb,linear_probe_q9,ext_v4,2.494878,,
monash_electricity_hourly,Electricity,PT-ID,1,L1,zero_shot,ext_v5,2.527061,2.40128,2.652183
monash_electricity_hourly,Electricity,PT-ID,1,L1,linear_adapter,ext_v5,1.870662,1.791208,1.951081
monash_electricity_hourly,Electricity,PT-ID,1,L1,linear_probe_q9,ext_v4,1.930267,,
monash_electricity_hourly,Electricity,PT-ID,2,L2,zero_shot,ext_v5,2.491357,2.368095,2.613427
monash_electricity_hourly,Electricity,PT-ID,2,L2,linear_adapter,ext_v5,1.13292,1.085397,1.18263
monash_electricity_hourly,Electricity,PT-ID,2,L2,linear_probe_q9,ext_v4,1.220555,,
monash_electricity_hourly,Electricity,PT-ID,3,L3,zero_shot,ext_v5,2.221896,2.113987,2.330832
monash_electricity_hourly,Electricity,PT-ID,3,L3,linear_adapter,ext_v5,0.908774,0.860187,0.962738
monash_electricity_hourly,Electricity,PT-ID,3,L3,linear_probe_q9,ext_v4,1.012469,,
monash_electricity_hourly,Electricity,PT-ID,4,L4,zero_shot,ext_v5,1.978005,1.882876,2.072851
monash_electricity_hourly,Electricity,PT-ID,4,L4,linear_adapter,ext_v5,0.936006,0.885467,0.991733
monash_electricity_hourly,Electricity,PT-ID,4,L4,linear_probe_q9,ext_v4,1.043153,,
monash_electricity_hourly,Electricity,PT-ID,5,L5,zero_shot,ext_v5,1.473056,1.403903,1.542319
monash_electricity_hourly,Electricity,PT-ID,5,L5,linear_adapter,ext_v5,0.935218,0.884393,0.990469
monash_electricity_hourly,Electricity,PT-ID,5,L5,linear_probe_q9,ext_v4,1.051101,,
monash_electricity_hourly,Electricity,PT-ID,6,L6,zero_shot,ext_v5,1.290835,1.231437,1.352462
monash_electricity_hourly,Electricity,PT-ID,6,L6,linear_adapter,ext_v5,0.951587,0.900147,1.007316
monash_electricity_hourly,Electricity,PT-ID,6,L6,linear_probe_q9,ext_v4,1.042097,,
monash_electricity_hourly,Electricity,PT-ID,7,L7,zero_shot,ext_v5,1.055245,1.003594,1.111048
monash_electricity_hourly,Electricity,PT-ID,7,L7,linear_adapter,ext_v5,0.967249,0.91545,1.022598
monash_electricity_hourly,Electricity,PT-ID,7,L7,linear_probe_q9,ext_v4,1.063745,,
monash_electricity_hourly,Electricity,PT-ID,8,L8,zero_shot,ext_v5,1.045351,0.992248,1.102004
monash_electricity_hourly,Electricity,PT-ID,8,L8,linear_adapter,ext_v5,0.971186,0.917569,1.02893
monash_electricity_hourly,Electricity,PT-ID,8,L8,linear_probe_q9,ext_v4,1.064073,,
monash_electricity_hourly,Electricity,PT-ID,9,L9,zero_shot,ext_v5,1.124737,1.067339,1.185963
monash_electricity_hourly,Electricity,PT-ID,9,L9,linear_adapter,ext_v5,0.963548,0.910154,1.021732
monash_electricity_hourly,Electricity,PT-ID,9,L9,linear_probe_q9,ext_v4,1.04502,,
monash_electricity_hourly,Electricity,PT-ID,10,L10,zero_shot,ext_v5,1.247664,1.182069,1.318808
monash_electricity_hourly,Electricity,PT-ID,10,L10,linear_adapter,ext_v5,0.958749,0.905321,1.016224
monash_electricity_hourly,Electricity,PT-ID,10,L10,linear_probe_q9,ext_v4,1.049702,,
monash_electricity_hourly,Electricity,PT-ID,11,L11,zero_shot,ext_v5,1.520861,1.442855,1.601023
monash_electricity_hourly,Electricity,PT-ID,11,L11,linear_adapter,ext_v5,0.947221,0.894312,1.004723
monash_electricity_hourly,Electricity,PT-ID,11,L11,linear_probe_q9,ext_v4,1.074356,,
monash_electricity_hourly,Electricity,PT-ID,12,L12,zero_shot,ext_v5,0.836712,0.781273,0.895409
monash_electricity_hourly,Electricity,PT-ID,12,L12,linear_adapter,ext_v5,0.853181,0.799795,0.911058
monash_electricity_hourly,Electricity,PT-ID,12,L12,linear_probe_q9,ext_v4,1.002241,,
monash_electricity_hourly,Electricity,PT-ID,13,L12+RMS,native,ext_v5,0.836712,0.781273,0.895409
monash_electricity_hourly,Electricity,PT-ID,13,L12+RMS,zero_shot,ext_v5,0.836712,0.781273,0.895409
monash_electricity_hourly,Electricity,PT-ID,13,L12+RMS,linear_adapter,ext_v5,0.836712,0.781273,0.895409
monash_electricity_hourly,Electricity,PT-ID,13,L12+RMS,linear_probe_q9,ext_v4,1.001643,,
uber_tlc_hourly,Uber,PT-ID,0,Emb,zero_shot,ext_v5,1.341699,1.276111,1.40766
uber_tlc_hourly,Uber,PT-ID,0,Emb,linear_adapter,ext_v5,1.315966,1.245916,1.388384
uber_tlc_hourly,Uber,PT-ID,0,Emb,linear_probe_q9,ext_v4,1.352434,,
uber_tlc_hourly,Uber,PT-ID,1,L1,zero_shot,ext_v5,1.329477,1.259393,1.400852
uber_tlc_hourly,Uber,PT-ID,1,L1,linear_adapter,ext_v5,1.169127,1.105989,1.232835
