source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
m4_hourly,monash_electricity_hourly,PT-ID,native,13,L12+RMS,0.836189,187.65801,1.156007,0.0,0.0,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,0,Emb,2.471715,673.949014,3.871285,1.955928,2.348841,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,1,L1,2.145721,542.203797,3.155908,1.566072,1.730007,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,2,L2,1.360864,323.443957,1.995292,0.627459,0.72602,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,3,L3,1.161373,270.079009,1.64258,0.388888,0.420908,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,4,L4,1.116973,259.775334,1.569487,0.33579,0.357679,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,5,L5,1.041621,239.727546,1.492185,0.245676,0.290809,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,6,L6,1.094982,260.581066,1.608813,0.309491,0.391698,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,7,L7,1.090686,249.695932,1.549497,0.304354,0.340386,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,8,L8,1.063741,236.180087,1.50182,0.272129,0.299144,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,9,L9,1.055309,238.46355,1.48022,0.262046,0.280459,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,10,L10,1.13072,247.570735,1.546979,0.35223,0.338208,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,11,L11,1.048015,223.890854,1.362482,0.253323,0.17861,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,12,L12,0.878753,190.729412,1.209007,0.050902,0.045848,0.836189,1.156007
m4_hourly,monash_electricity_hourly,PT-ID,transfer,13,L12+RMS,0.836189,187.65801,1.156007,0.0,0.0,0.836189,1.156007
