source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
m4_hourly,sg_carpark,PT-OOD,native,13,L12+RMS,0.59779,8.80025,0.538593,0.0,0.0,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,0,Emb,2.460068,37.494533,2.016398,3.115272,2.743827,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,1,L1,1.896187,28.696421,1.517361,2.171996,1.817271,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,2,L2,1.231993,18.960556,1.109378,1.060913,1.059772,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,3,L3,1.007781,15.61918,0.908937,0.685845,0.687615,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,4,L4,0.95721,15.086453,0.864381,0.601249,0.604888,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,5,L5,0.794922,12.40622,0.733048,0.329768,0.361044,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,6,L6,0.801748,12.582477,0.744973,0.341186,0.383184,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,7,L7,0.789413,12.353771,0.738353,0.320553,0.370894,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,8,L8,0.742083,11.602823,0.704803,0.241378,0.308602,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,9,L9,0.720187,11.088194,0.665951,0.20475,0.236465,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,10,L10,0.767473,11.704546,0.682766,0.283851,0.267685,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,11,L11,0.720894,10.965257,0.640114,0.205932,0.188493,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,12,L12,0.632137,9.512103,0.590939,0.057458,0.097191,0.59779,0.538593
m4_hourly,sg_carpark,PT-OOD,transfer,13,L12+RMS,0.59779,8.80025,0.538593,0.0,0.0,0.59779,0.538593
