source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
m4_hourly,wind_farms_hourly,PT-ID,native,13,L12+RMS,4.35428,14.686289,2.976095,0.0,0.0,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,0,Emb,5.873746,27.018377,5.216517,0.348959,0.752806,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,1,L1,5.395232,23.57788,4.940791,0.239064,0.660159,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,2,L2,5.171113,19.910054,4.268583,0.187593,0.43429,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,3,L3,5.118341,18.842369,3.891954,0.175474,0.307739,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,4,L4,5.289049,18.488993,3.770211,0.214678,0.266832,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,5,L5,4.982984,17.275948,3.541148,0.144388,0.189864,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,6,L6,4.931478,17.774214,3.611348,0.132559,0.213452,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,7,L7,4.999254,18.312419,3.794844,0.148124,0.275108,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,8,L8,5.050147,18.569097,3.838066,0.159812,0.289632,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,9,L9,4.990405,18.579576,3.866555,0.146092,0.299204,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,10,L10,4.797249,17.938705,3.771633,0.101732,0.26731,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,11,L11,4.830533,17.770888,3.734995,0.109376,0.254999,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,12,L12,4.640357,16.45707,3.600381,0.0657,0.209767,4.35428,2.976095
m4_hourly,wind_farms_hourly,PT-ID,transfer,13,L12+RMS,4.35428,14.686289,2.976095,0.0,0.0,4.35428,2.976095
