source_dataset,target_dataset,kind,condition,layer,layer_label,test_mase,test_median_mae,test_wql,relative_regret_mase,relative_regret_wql,native_test_mase,native_test_wql
monash_electricity_hourly,m4_hourly,PT-ID,native,13,L12+RMS,0.928949,256.579066,0.765341,0.0,0.0,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,0,Emb,10.11034,864.019479,2.544121,9.883635,2.324168,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,1,L1,7.358932,682.003008,1.99335,6.921784,1.604527,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,2,L2,2.341934,396.389205,1.20608,1.521058,0.575874,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,3,L3,2.284779,418.310019,1.335828,1.459532,0.745404,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,4,L4,1.771487,398.344023,1.279775,0.906981,0.672164,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,5,L5,1.73773,407.882465,1.304142,0.870641,0.704003,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,6,L6,1.586699,393.62937,1.264478,0.708058,0.652177,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,7,L7,1.551476,389.426251,1.243208,0.670141,0.624385,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,8,L8,1.735656,372.691883,1.154892,0.868409,0.508991,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,9,L9,1.502844,340.407154,1.051678,0.61779,0.37413,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,10,L10,1.472434,334.738189,1.071151,0.585053,0.399574,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,11,L11,1.735323,302.218923,0.912425,0.868051,0.192181,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,12,L12,1.165665,303.270807,0.889422,0.254822,0.162126,0.928949,0.765341
monash_electricity_hourly,m4_hourly,PT-ID,transfer,13,L12+RMS,0.928949,256.579066,0.765341,0.0,0.0,0.928949,0.765341
