objective,layer,layer_label,raw,relative,higher_is_better,is_best,is_final
Binned accuracy,0,Embed,0.318,0.0,True,False,False
Binned accuracy,1,1,0.37733333333333335,0.6180555555555559,True,False,False
Binned accuracy,2,2,0.39866666666666667,0.840277777777778,True,False,False
Binned accuracy,3,3,0.38,0.6458333333333335,True,False,False
Binned accuracy,4,4,0.37666666666666665,0.611111111111111,True,False,False
Binned accuracy,5,5,0.3933333333333333,0.7847222222222222,True,False,False
Binned accuracy,6,6,0.41333333333333333,0.9930555555555557,True,False,False
Binned accuracy,7,7,0.414,1.0,True,True,False
Binned accuracy,8,8,0.408,0.9374999999999999,True,False,False
Binned accuracy,9,9,0.36533333333333334,0.49305555555555575,True,False,False
Binned accuracy,10,10,0.378,0.6250000000000001,True,False,False
Binned accuracy,11,11,0.4,0.8541666666666671,True,False,False
Binned accuracy,12,12,0.38866666666666666,0.7361111111111112,True,False,True
Ridge R²,0,Embed,0.03415101583541136,0.0,True,False,False
Ridge R²,1,1,0.26522305464791995,0.6126196941746258,True,False,False
Ridge R²,2,2,0.2387012419622394,0.5423048916569497,True,False,False
Ridge R²,3,3,0.348047047461695,0.832203203320301,True,False,False
Ridge R²,4,4,0.38485744681487477,0.9297951738160842,True,False,False
Ridge R²,5,5,0.4113377778833224,1.0,True,True,False
Ridge R²,6,6,0.38307441875844583,0.9250679982207688,True,False,False
Ridge R²,7,7,0.3844643271887842,0.9287529325031703,True,False,False
Ridge R²,8,8,0.3709562099627559,0.8929401241408438,True,False,False
Ridge R²,9,9,0.32342530545311876,0.7669258805561241,True,False,False
Ridge R²,10,10,0.3526657330894264,0.8444482927360973,True,False,False
Ridge R²,11,11,0.3736016677778018,0.8999537791288463,True,False,False
Ridge R²,12,12,0.3910611455998727,0.946242460436949,True,False,True
Mean pinball loss,0,Embed,0.18182270228862762,0.0,False,False,False
Mean pinball loss,1,1,0.12343305349349976,0.8608696502300929,False,False,False
Mean pinball loss,2,2,0.11898202449083328,0.9264935383636556,False,False,False
Mean pinball loss,3,3,0.11399634927511215,1.0,False,True,False
Mean pinball loss,4,4,0.11567199975252151,0.9752949937161525,False,False,False
Mean pinball loss,5,5,0.11760263890028,0.9468305538343004,False,False,False
Mean pinball loss,6,6,0.11982814967632294,0.9140186646914554,False,False,False
Mean pinball loss,7,7,0.12229631841182709,0.877629140180056,False,False,False
Mean pinball loss,8,8,0.12554344534873962,0.8297550205695634,False,False,False
Mean pinball loss,9,9,0.1270529329776764,0.8074998415444435,False,False,False
Mean pinball loss,10,10,0.12393028289079666,0.8535387327444096,False,False,False
Mean pinball loss,11,11,0.12195881456136703,0.8826051389690931,False,False,False
Mean pinball loss,12,12,0.12033911794424057,0.9064851877283668,False,False,True
MASE,0,Embed,2.443309141180039,0.0,False,False,False
MASE,1,1,1.5183279656271107,0.9061216639984301,False,False,False
MASE,2,2,1.4792307198056933,0.9444217531005473,False,False,False
MASE,3,3,1.422495698235438,1.0,False,True,False
MASE,4,4,1.4656943029850251,0.9576821748889023,False,False,False
MASE,5,5,1.489016477546101,0.9348355179191414,False,False,False
MASE,6,6,1.5219044114648652,0.9026181385869326,False,False,False
MASE,7,7,1.5473198210518704,0.877720925719425,False,False,False
MASE,8,8,1.6025231079350235,0.8236431828520154,False,False,False
MASE,9,9,1.6260764184094427,0.8005701026166316,False,False,False
MASE,10,10,1.5722862472130172,0.8532635419205502,False,False,False
MASE,11,11,1.5536577404707652,0.8715122306217069,False,False,False
MASE,12,12,1.5455379259520818,0.8794664896244697,False,False,True
"Quantile loss (raw, not plotted)",0,Embed,7.6365532875061035,0.0,False,False,False
"Quantile loss (raw, not plotted)",1,1,5.1841888427734375,0.8608693992856917,False,False,False
"Quantile loss (raw, not plotted)",2,2,4.997244834899902,0.9264935670572536,False,False,False
"Quantile loss (raw, not plotted)",3,3,4.787846565246582,1.0,False,True,False
"Quantile loss (raw, not plotted)",4,4,4.858223915100098,0.9752949823498523,False,False,False
"Quantile loss (raw, not plotted)",5,5,4.9393110275268555,0.9468304472704246,False,False,False
"Quantile loss (raw, not plotted)",6,6,5.032782077789307,0.9140186981591253,False,False,False
"Quantile loss (raw, not plotted)",7,7,5.136445045471191,0.8776292141620988,False,False,False
"Quantile loss (raw, not plotted)",8,8,5.272824764251709,0.8297549567965162,False,False,False
"Quantile loss (raw, not plotted)",9,9,5.336223125457764,0.8074998188033118,False,False,False
"Quantile loss (raw, not plotted)",10,10,5.205071449279785,0.853538842460318,False,False,False
"Quantile loss (raw, not plotted)",11,11,5.122270107269287,0.8826051346705677,False,False,False
"Quantile loss (raw, not plotted)",12,12,5.0542426109313965,0.9064852679978528,False,False,True
