source_dataset,target_dataset,probe_family,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_oracle_best_layer,is_source_selected_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,0,-0.9516193093458813,-1.0412908688143232,-0.861390192782208,False,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,1,-0.02212443908055617,-0.07206310327094964,0.026331858254967335,False,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,2,-0.019760511477788345,-0.06893497234943446,0.02533005137136126,False,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,3,0.09909742983182257,0.06161418360314517,0.13634941242224596,True,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,4,0.15447221374511733,0.11460488583012915,0.19548297443923096,True,True,True,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,5,0.14353545788923894,0.10566198595619863,0.1816797328664096,True,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,6,0.0490054407119751,0.010733804235629663,0.08723795020199182,True,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,7,-0.08328897126515722,-0.12368602239494142,-0.04338419771080925,False,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,8,-0.025926796992620016,-0.0652793305535446,0.013772338021586027,False,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,9,-0.07765486240386954,-0.11847587924560439,-0.036917656690949374,False,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,10,0.0971925400495528,0.059888122669733465,0.1356051685339891,True,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,11,0.07400942802429178,0.04073399329927426,0.10738785982986182,True,False,False,False,318,1500,5000
monash_electricity_hourly,monash_electricity_hourly,content_mlp_head,0,False,q9,12,0.0,0.0,0.0,False,False,False,True,318,1500,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,0,0.8729157113275035,0.6378862042680855,1.1263248426773327,True,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,1,0.756335622708316,0.5983415328856416,0.917761352945307,True,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,2,0.8929605507567935,0.6521909787028783,1.124890522811124,True,True,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,3,0.7845431175156543,0.6202812980247753,0.9496203031513452,True,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,4,0.7957977485279786,0.5766467007737613,1.0262672837578184,True,False,True,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,5,0.4628983674784415,0.279041495112447,0.6542814783716348,True,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,6,0.10772464020921291,-0.0807422735144065,0.3010877442669187,False,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,7,-0.5167661867594067,-0.7005609806978473,-0.3407424001136006,False,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,8,-0.06924354841586666,-0.2114835568916939,0.07490035187334257,False,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,9,-0.18543830643529535,-0.3364502415153245,-0.0320788252920162,False,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,10,0.41114778763691895,0.28093409272584347,0.5475136210940293,True,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,11,0.392666142448606,0.24665724962448904,0.5297997066225243,True,False,False,False,75,506,5000
monash_electricity_hourly,monash_kdd_cup_2018,content_mlp_head,0,True,q9,12,0.0,0.0,0.0,False,False,False,True,75,506,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,0,1.722841132322948,1.4307094923909256,2.0231429702302104,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,1,1.259040852864584,1.0203144027823243,1.5112387187749003,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,2,1.751602989832561,1.5351575694254906,1.9703343630198236,True,True,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,3,1.3076790456771858,1.1622363015716255,1.4611360257795545,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,4,1.5450777734120686,1.3878117322891534,1.706598380280168,True,False,True,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,5,1.4738178896904,1.2507760977539013,1.7047816789126693,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,6,1.71562446308136,1.4898195393413716,1.9560641279844149,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,7,0.7887073202133186,0.6113614759736326,0.9748621129249954,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,8,0.8930152036348984,0.668215184866609,1.1283124912548814,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,9,0.41121015771230063,0.21251262594985706,0.6146353930371152,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,10,0.5725445896784471,0.3837686321782354,0.7675103929202015,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,11,0.8047643133799243,0.6527421402011613,0.9628197087772323,True,False,False,False,260,1500,5000
monash_electricity_hourly,uber_tlc_hourly,content_mlp_head,0,True,q9,12,0.0,0.0,0.0,False,False,False,True,260,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,0,-2.852984368324279,-3.1749932614910494,-2.5382590491157258,False,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,1,1.6879013600349433,1.4797752039384147,1.8850289148792028,True,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,2,1.2224840186436978,0.9604535158589149,1.47192027460465,True,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,3,0.6148787714640314,0.3665909696975628,0.8419008397969827,True,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,4,0.6006463667551678,0.38528357885691067,0.8053450283231874,True,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,5,1.6538719094594327,1.4507745582596798,1.849423804815576,True,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,6,2.5904998987515775,2.3983691225695716,2.7792238215452207,True,True,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,7,2.0992987845738735,1.8538394505588487,2.3291621518477696,True,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,8,1.558437374114991,1.3408900456089923,1.7700031587710747,True,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,9,0.5841268137296041,0.4100353143311356,0.7600642262357897,True,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,10,1.5781639887491865,1.3962413920766996,1.7575155365197932,True,False,True,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,11,0.10353271325429425,-0.028681618051003836,0.23510823568394365,False,False,False,False,318,1500,5000
monash_kdd_cup_2018,monash_electricity_hourly,content_mlp_head,0,True,q9,12,0.0,0.0,0.0,False,False,False,True,318,1500,5000
