target_dataset,baseline,metric,loss,seed,quantile_config,context_length,prediction_length,number_of_windows,number_of_series
monash_electricity_hourly,last_value,mase,4.38183,0,9,512,64,1500,318
monash_electricity_hourly,last_value,mae,1444.117239,0,9,512,64,1500,318
monash_electricity_hourly,last_value,q9_quantile_loss_degenerate,7.97247,0,9,512,64,1500,318
monash_electricity_hourly,seasonal_naive,mase,1.209862,0,9,512,64,1500,318
monash_electricity_hourly,seasonal_naive,mae,321.856669,0,9,512,64,1500,318
monash_electricity_hourly,seasonal_naive,q9_quantile_loss_degenerate,2.721884,0,9,512,64,1500,318
monash_electricity_hourly,native_chronos2,mase,0.850816,0,9,512,64,1500,318
monash_electricity_hourly,native_chronos2,mae,259.684103,0,9,512,64,1500,318
monash_kdd_cup_2018,last_value,mase,1.044072,0,9,512,64,506,75
monash_kdd_cup_2018,last_value,mae,11.277291,0,9,512,64,506,75
monash_kdd_cup_2018,last_value,q9_quantile_loss_degenerate,6.360096,0,9,512,64,506,75
monash_kdd_cup_2018,seasonal_naive,mase,1.15859,0,9,512,64,506,75
monash_kdd_cup_2018,seasonal_naive,mae,12.385623,0,9,512,64,506,75
monash_kdd_cup_2018,seasonal_naive,q9_quantile_loss_degenerate,7.023327,0,9,512,64,506,75
monash_kdd_cup_2018,native_chronos2,mase,0.828258,0,9,512,64,506,75
monash_kdd_cup_2018,native_chronos2,mae,8.712096,0,9,512,64,506,75
uber_tlc_hourly,last_value,mase,1.409635,0,9,512,64,1500,260
uber_tlc_hourly,last_value,mae,11.236979,0,9,512,64,1500,260
uber_tlc_hourly,last_value,q9_quantile_loss_degenerate,6.88534,0,9,512,64,1500,260
uber_tlc_hourly,seasonal_naive,mase,1.142444,0,9,512,64,1500,260
uber_tlc_hourly,seasonal_naive,mae,6.882313,0,9,512,64,1500,260
uber_tlc_hourly,seasonal_naive,q9_quantile_loss_degenerate,5.644682,0,9,512,64,1500,260
uber_tlc_hourly,native_chronos2,mase,0.658227,0,9,512,64,1500,260
uber_tlc_hourly,native_chronos2,mae,3.170404,0,9,512,64,1500,260
